ch_changeIdNum,s
1,3596
2,5
3,211
4,8
5,42
6,1
7,2
8,430
9,606
10,136
11,171
12,2
13,357
14,713
15,591
16,4776
17,84
18,5952
19,6823
20,195
21,1737
22,10002
23,8660
24,16
25,7992
26,8
27,612
28,24
29,32
30,105
31,108
32,249
33,712
34,55
35,69
36,4
37,719
38,55
39,29023
40,9
41,2133
42,27572
43,13354
44,6
45,0
46,16
47,384
48,353
49,808
50,9703
51,9
52,464
53,260
54,24
55,104
56,518
57,494
58,40
59,3
60,1
61,6
62,58589
63,406
64,12
65,117
66,1315
67,30726
68,9
69,0
70,99
71,15
72,1079
73,468
74,600
75,2
76,8
77,7725
78,19
79,9503
80,12
81,31465
82,14721
83,4707
84,128
85,706
86,429
87,6688
88,19
89,216
90,24
91,1192
92,592
93,558
94,1
95,269
96,36
97,54
98,576
99,16
100,6
101,100
102,1306
103,873
104,4701
105,104
106,792
107,1868
108,35
109,1
110,90
111,48
112,36290
113,4
114,3006
115,2165
116,5185
117,15679
118,2932
119,13974
120,4740
121,21
122,382
123,9141
124,410
125,2698
126,667
127,24
128,1994
129,45
130,308
131,566
132,46
133,1
134,6
135,184
136,6
137,7
138,20
139,10
140,1034
141,13
142,59
143,136
144,108
145,70
146,250
147,4
148,60
149,1
150,814
151,10
152,19916
153,26
154,1541
155,449
156,3903
157,8911
158,25
159,289
160,3
161,3
162,219
163,1240
164,0
165,4
166,4
167,1
168,7
169,1
170,1964
171,624
172,264
173,5325
174,586
175,4
176,4
177,6
178,24
179,46
180,1
181,22904
182,197
183,936
184,2341
185,4
186,8
187,8
188,6141
189,66
190,12
191,50
192,3062
193,5630
194,150
195,482
196,5654
197,13
198,80
199,18
200,24
201,197
202,177
203,76
204,12
205,92
206,53
207,8
208,212
209,1
210,10
211,4
212,190
213,166
214,39
215,70
216,1424
217,10
218,0
219,136
220,28
221,91
222,240
223,10
224,25
225,266
226,13
227,78
228,3271
229,40
230,46
231,6911
232,6
233,4
234,1825
235,212
236,153
237,1913
238,9
239,223
240,2
241,155
242,18
243,132
244,27
245,1
246,391
247,6
248,9
249,70
250,2
251,4017
