ch_changeIdNum,c
1,103
2,1
3,3
4,1
5,1
6,1
7,1
8,8
9,9
10,10
11,21
12,1
13,4
14,12
15,9
16,48
17,3
18,104
19,113
20,39
21,37
22,291
23,138
24,2
25,191
26,2
27,30
28,4
29,2
30,5
31,3
32,1
33,21
34,3
35,3
36,1
37,62
38,3
39,410
40,2
41,12
42,176
43,99
44,7
45,2
46,1
47,14
48,10
49,25
50,52
51,2
52,7
53,7
54,6
55,6
56,20
57,16
58,19
59,1
60,1
61,2
62,24
63,90
64,2
65,2
66,41
67,122
68,1
69,10
70,2
71,3
72,23
73,6
74,4
75,1
76,1
77,322
78,1
79,154
80,2
81,1051
82,68
83,38
84,9
85,16
86,10
87,160
88,3
89,20
90,1
91,53
92,22
93,7
94,1
95,5
96,2
97,7
98,38
99,1
100,6
101,5
102,90
103,9
104,66
105,8
106,186
107,16
108,5
109,1
110,13
111,4
112,267
113,2
114,319
115,61
116,85
117,157
118,131
119,54
120,42
121,3
122,98
123,139
124,109
125,62
126,20
127,3
128,29
129,1
130,76
131,14
132,2
133,1
134,2
135,6
136,1
137,1
138,4
139,2
140,21
141,2
142,2
143,4
144,3
145,8
146,14
147,16
148,1
149,1
150,1
151,1
152,338
153,2
154,124
155,49
156,186
157,483
158,1
159,4
160,3
161,1
162,28
163,45
164,57
165,2
166,1
167,1
168,1
169,1
170,44
171,18
172,33
173,33
174,13
175,2
176,2
177,1
178,2
179,2
180,1
181,427
182,42
183,90
184,185
185,1
186,2
187,8
188,194
189,1
190,2
191,4
192,100
193,36
194,2
195,4
196,36
197,1
198,27
199,3
200,4
201,2
202,12
203,8
204,3
205,27
206,6
207,4
208,24
209,1
210,1
211,1
212,2
213,9
214,3
215,8
216,33
217,1
218,58
219,3
220,14
221,4
222,6
223,7
224,22
225,14
226,1
227,10
228,101
229,5
230,3
231,6
232,1
233,1
234,31
235,3
236,2
237,23
238,27
239,3
240,2
241,21
242,3
243,8
244,2
245,1
246,12
247,4
248,2
249,4
250,2
251,31
252,1
253,31
254,3
255,7
256,12
257,11
258,2
259,44
260,186
261,3
262,9
263,26
264,4
265,5
266,19
267,2
268,65
269,1
270,6
271,7
272,1
273,7
274,11
275,4
276,42
277,1
278,2
279,4
280,4
281,23
282,13
283,2
284,602
285,7
286,98
287,59
288,87
289,21
290,4
291,191
292,1
293,3
294,9
295,3
296,2
297,2
298,3
299,6
300,1
301,31
302,2
303,7
304,3
305,11
306,3
307,3
308,1
309,6
310,2
311,35
312,156
313,2
314,3
315,2
316,13
317,314
318,2
319,16
320,9
321,2
322,18
323,32
324,4
325,32
326,3
327,1
328,7
329,44
330,17
331,1
332,4
333,19
334,3
335,10
336,154
337,7
338,2
339,1
340,2
341,181
342,1
343,2
344,12
345,3
346,4
347,20
348,6
349,2
350,1
351,10
352,61
353,4
354,31
355,3
356,5
357,562
358,10
359,9
360,3
361,1
362,7
363,7
364,12
365,31
366,3
367,1
368,1
369,4
370,3
371,30
372,9
373,1
374,10
375,26
376,1
377,1
378,3
379,1
380,1
381,1
382,5
383,18
384,1
385,1
386,1
387,4
388,8
389,2
390,6
391,3
392,3
393,4
394,4
395,11
396,7
397,60
398,16
399,35
400,2
401,1
402,17
403,3
404,4
405,4
406,3
407,1
408,2
409,140
410,28
411,1
412,83
413,6
414,6
415,4
416,28
417,10
418,6
419,2
420,1
421,1
422,3
423,11
424,14
425,2
426,2
427,3
428,8
429,1
430,8
431,31
432,1
433,2
434,42
435,1
436,36
437,8
438,7
439,2
440,2
441,1
442,4
443,239
444,8
445,155
446,22
447,32
448,1
449,10
450,5
451,4
452,60
453,5
454,39
455,47
456,49
457,9
458,7
459,10
460,6
461,75
462,46
463,59
464,14
465,70
466,24
467,4
468,53
469,42
470,2
471,22
472,265
473,184
474,31
475,4
476,1
477,1
478,15
479,2
480,9
481,1
482,10
483,27
484,9
485,13
486,5
487,17
488,2
489,33
490,5
491,1
492,13
493,4
494,100
495,53
496,26
497,1
498,31
499,22
500,258
501,226
502,5
503,1
504,2
505,1
507,13
508,1
509,93
510,15
511,3
512,35
513,10
514,41
515,5
516,1
517,49
519,38
520,16
521,52
522,146
523,1
525,1
526,1
527,3
528,12
529,27
530,10
531,35
532,35
533,19
534,23
535,7
536,157
537,274
538,12
539,11
540,12
541,7
542,8
543,3
544,119
545,19
546,18
547,10
548,12
549,6
550,10
551,64
552,64
553,2
554,9
555,11
556,1
557,4
558,14
559,5
560,1
561,1
562,3
563,4
564,1
565,3
566,4
567,3
568,2
569,2
570,1
571,7
572,15
573,6
574,40
575,12
576,4
577,8
578,10
579,4
580,2
581,32
582,2
583,5
584,1
585,13
586,2
587,1
588,7
589,1
590,8
591,32
592,4
593,7
594,12
595,10
596,14
597,1
598,5
599,1
600,3
601,2
602,22
603,1
604,1
605,10
606,16
607,1
608,3
609,51
610,2
611,1
612,1
613,3
614,2
615,1
616,1
617,1
618,1
619,25
620,1
621,220
622,1
623,2
624,56
625,5
626,2
627,4
628,1
629,1
630,1
631,36
632,10
633,2
634,234
635,1
636,6
637,60
638,12
639,6
640,2
641,3
642,6
643,6
644,1
645,12
646,166
647,1
648,2
650,56
651,1
652,2
653,10
654,1
655,1
656,332
657,6
658,6
659,16
660,5
661,1
662,8
663,8
664,2
665,1
666,188
667,2
668,4
669,11
670,20
671,2
672,15
673,9
674,1
675,59
676,3
677,1
678,2
679,2
680,4
681,3
682,2
683,4
684,6
685,4
686,17
687,4
688,14
689,159
690,2
691,2
692,3
693,2
694,4
695,2
696,3
697,22
698,3
699,1
700,37
701,2
702,6
703,13
704,3
705,2
706,522
707,1
708,20
709,30
710,2
711,2
712,224
713,563
714,2
715,4
716,2
717,1
718,4
719,8
720,12
721,2
722,1
723,1
724,4
725,6
726,34
727,16
728,4
729,12
730,1
731,2
732,13
733,104
734,2
735,1
736,12
737,12
738,4
739,54
740,2
741,2
742,42
743,2
744,48
745,2
746,1
747,7
748,2
749,40
750,2
751,45
752,2
753,2
754,4
755,6
756,16
757,4
758,10
759,372
760,2
761,2
762,30
763,1
764,3
765,4
766,26
767,306
768,1
769,182
770,5
771,4
772,25
