ch_changeIdNum,s
1,249
2,3
3,0
4,8
5,5
6,1
7,0
8,849
9,316
10,109
11,16
12,2
13,125
14,4
15,24
16,18
17,0
18,0
19,0
20,837
21,350
22,48939
23,8466
24,5
25,0
26,2
27,3099
28,1
29,4
30,60
31,3
32,228
33,844
34,4
35,6
36,0
37,54
38,32
39,14541
40,0
41,3
42,355
43,10
44,6
45,90
46,11
47,10
48,25
49,608
50,47
51,6
52,459
53,8
54,24
55,34
56,50
57,202
58,34
59,3
60,1
61,6
62,57706
63,214
64,2
65,107
66,187
67,0
68,9
69,242
70,8
71,23
72,16
73,2
74,600
75,1
76,1
77,3528
78,10
79,2084
80,2
81,6313
82,31
83,39
84,24
85,68
86,96
87,0
88,32
89,4
90,3
91,102
92,116
93,0
94,2
95,31
96,4
97,160
98,346
99,0
100,12
101,1
102,3075
103,624
104,150
105,20
106,305
107,38
108,10
109,1
110,161
111,0
112,1095
113,12
114,6204
115,111
116,0
117,26
118,3357
119,18794
120,42
121,62
122,604
123,0
124,409
125,40
126,130
127,0
128,230
129,3
130,78
131,0
132,62
133,1
134,2
135,0
136,1
137,3
138,30
139,10
140,141
141,1
142,0
143,4
144,0
145,18
146,116
147,0
148,2
149,1
150,814
151,3
152,24367
153,2
154,2291
155,0
156,1105
157,2625
158,2
159,24
160,3
161,1
162,39
163,292
164,1791
165,2
166,0
167,0
168,0
169,1
170,60
171,304
172,0
173,5
174,315
175,0
176,0
177,0
178,6
179,38
180,1
181,829
182,167
183,599
184,4910
185,4
186,2
187,0
188,316
189,0
190,2
191,3
192,146
193,0
194,79
195,0
196,3
197,3
198,151
199,3
200,4
201,0
202,0
203,4
204,12
205,20
206,18
207,8
208,12
209,1
210,10
211,0
212,1
213,24
214,3
215,4
216,0
217,0
218,0
219,66
220,52
221,148
222,4
223,93
224,32
225,84
226,15
227,41
228,629
229,15
230,4
231,6837
232,5
233,2
234,111
235,139
236,17
237,2045
238,9
239,136
240,2
241,67
242,0
243,8
244,0
245,1
246,276
247,1
248,1
249,0
250,2
251,3223
252,1
253,0
254,1
255,18
256,0
257,2
258,0
259,12
260,0
261,3
262,10
263,0
264,4
265,9
266,32
267,0
268,30
269,4
270,6
271,308
272,3
273,20
274,15
275,13
276,457
277,0
278,0
279,129
280,0
281,181
282,9
283,11
284,25986
285,64
286,850
287,64
288,201
289,15
290,2
291,14
292,3
293,4
294,71
295,27
296,4
297,1
298,16
299,3
300,0
301,217
302,1
303,68
304,28
305,6
306,0
307,2
308,0
309,62
310,1
311,83
312,10888
313,6
314,24
315,8
316,52
317,5017
318,8
319,8
320,18
321,0
322,219
323,3
324,37
325,225
326,0
327,2
328,21
329,716
330,157
331,26
332,2
333,84
334,0
335,1
336,5658
337,6
338,4
339,1
340,1
341,9841
342,69
343,0
344,520
345,2
346,16
347,11
348,25
349,7
350,2
351,93
352,123
353,0
354,2209
355,8
356,25
357,108
358,48
359,9
360,0
361,6
362,27
363,4
364,8
365,1284
366,12
367,1
368,6
369,75
370,4
371,2318
372,170
373,1
374,6
375,44
376,1
377,1
378,4
379,1
380,1
381,2
382,5
383,25
384,1
385,1
386,1
387,4
388,10
389,2
390,14
391,51
392,33
393,4
394,8
395,199
396,5
397,136
398,24
399,87
400,4
401,2
402,298
403,3
404,16
405,3
406,0
407,11
408,0
409,2296
410,92
411,9
412,106
413,106
414,0
415,10
416,2960
417,0
418,11
419,0
420,1
421,0
422,3
423,108
424,84
425,0
426,32
427,42
428,1089
429,4
430,1
431,49
432,0
433,1
434,0
435,5
436,0
437,39
438,9
439,0
440,49
441,1
442,39
443,6
444,92
445,4734
446,52
447,100
448,1
449,60
450,121
451,11
452,0
453,0
454,35
455,183
456,533
457,443
458,36
459,25
460,57
461,5714
462,255
463,4
464,4
465,13232
466,271
467,12
468,8350
469,92
470,0
471,35
472,957
473,0
474,318
475,28
476,1
477,2
478,21
479,15
480,18
481,3
482,21
483,74
484,0
485,47
486,2
487,167
488,115
489,40
490,2
491,2
492,34
493,10
494,799
495,375
496,332
497,0
498,113
499,116
500,801
501,1123
502,5
503,12
504,3
505,52
507,104
508,10
509,186
510,12
511,11
512,60
513,19
514,23836
515,6
516,0
517,24170
519,6
520,3
521,24689
522,33306
523,0
525,2
526,8
527,0
528,29
529,62
530,68
531,343
532,162
533,70
534,255
535,93
536,519
537,35658
538,284
539,3
540,284
541,33
542,37
543,30
544,27946
545,92
546,92
547,1
548,5
549,0
550,56
551,24001
552,24001
553,3
554,59
555,16
556,1
557,0
558,15
559,0
560,17
561,2
562,55
563,4
564,3
565,2
566,21
567,51
568,21
569,11
570,8
571,0
572,0
573,40
574,16
575,1
576,36
577,675
578,51
579,0
580,0
581,40
582,3
583,8
584,1
585,6
586,2
587,2
588,1
589,14
590,2
591,0
592,2
593,11
594,26
595,8
596,0
597,0
598,14
599,16
600,15
601,0
602,32
603,1
604,27
605,202
606,28
607,119
608,3
609,146
610,2
611,4
612,4
613,2
614,6
615,34
616,3
617,0
618,1
619,15
620,2
621,262
622,1
623,2
624,4
625,13
626,4
627,21
628,0
629,1
630,1
631,116
632,18
633,2
634,4173
635,0
636,6
637,416
638,106
639,6
640,2
641,78
642,6
643,1
644,138
645,32
646,872
647,0
648,8
650,185
651,9
652,1
653,60
654,1
655,1
656,700
657,16
658,16
659,267
660,10
661,2
662,26
663,10
664,32
665,2
666,190
667,0
668,4
669,614
670,608
671,0
672,43
673,19
674,1
675,419
676,4
677,2
678,2
679,4
680,4
681,1
682,0
683,0
684,180
685,0
686,58
687,4
688,1
689,816
690,2
691,2
692,4
693,8
694,14
695,2
696,3
697,996
698,66
699,1
700,105
701,34
702,38
703,239
704,4
705,2
706,6306
707,1
708,32
709,16
710,65
711,0
712,19214
713,35444
714,33
715,26
716,7
717,0
718,26
719,10
720,18
721,44
722,1046
723,2
724,33
725,17
726,436
727,3212
728,4
729,9
730,1
731,5
732,63
733,781
734,2092
735,3
736,87
737,38
738,54
739,1174
740,20
741,0
742,1297
743,4
744,149
745,0
746,0
747,3
748,6
749,357
750,2
751,429
752,8
753,8
754,16
755,3
756,26
757,16
758,38
759,7564
760,1
761,4
762,251
763,2
764,4
765,24
766,279
767,318
768,1
769,1530
770,5
771,13
772,49
773,0
774,14
775,18
776,99
777,72
778,2
779,0
780,6
781,2
782,2
783,1
784,125
785,128
786,0
787,24
788,130
789,1
790,0
791,6
792,44
793,1
794,3
795,11
796,0
797,19
798,12445
799,414330
800,3
801,1
802,362
803,7
804,2
805,2
806,61
807,4
808,0
809,879
810,3
811,144
812,40
813,5
814,0
815,1
816,9
817,31
818,4
819,212
820,3
821,12
822,171
823,210
824,1
825,623
826,3
827,2
828,72
829,3
830,35
831,25
832,12
833,103
834,2
835,2
836,1236
837,0
838,177
839,1
840,114
841,0
842,14
843,15
844,1704
846,0
847,2
848,3
849,506
850,42
851,50
852,92
853,22
854,4
855,244
856,96
857,4
858,2
859,538
860,1
861,10
862,3
863,24
864,11
865,252
866,156
867,0
868,2
869,70
870,15
871,10
872,10
873,72
874,9
875,65
876,2387
877,8
878,55
879,4
880,3
881,28
882,6
883,1
884,32
885,20
886,1
887,2
888,3
889,13774
890,15
891,17
892,390
893,25
894,6
895,93
896,2
897,30
898,10
899,3
900,84
901,8
902,78
903,2
904,1
905,22
906,18
907,265
908,5476
909,14
910,1
911,0
912,432
913,75
914,213
915,33
916,1864
917,1
918,76
919,27
920,193
921,76
922,0
923,2
924,301
925,190
926,1
927,6
928,110
929,2
930,633
931,46
932,116
933,138
934,5
935,3
936,0
937,349
938,496
939,1
940,12
941,3
942,1
943,15
944,1051
945,18
946,1
947,103
948,6
949,52
950,1306
951,0
952,780
953,0
954,51
955,296
956,160
957,46
958,1
959,6
960,163
961,177
962,231
963,21
964,1079
965,1
966,84
967,124
968,364
969,46
970,79
971,1655
972,30
973,0
974,35
975,309
976,415
977,480
978,766
979,100
980,386
981,0
982,9
983,10
984,89
985,20
986,3
987,0
988,10
989,32
990,28
991,9
992,312
993,30
994,22
995,1
996,0
997,1
998,22
999,14
1000,0
1001,2
1002,2
1003,36
1004,5
1005,322
1006,34
1007,1165
1008,204
1009,0
1010,43
1011,0
1012,427
1013,983
1014,15
1015,110
1016,2
1017,165
1018,0
1019,2
1020,3
1021,124
1022,16
1023,31
1024,16
1025,54
1026,3
1027,30
1028,356
1029,146
1030,2
1031,15
1032,24
1033,2
1034,1
1035,1
1036,5
1037,2
1038,638
1039,3
1040,12
1041,1
1042,7
1043,0
1044,0
1045,8
1046,22
1047,0
1048,4
1049,4
1050,15
1051,14
1052,27
1053,27
1054,4
1055,1
1056,343
1057,34
1058,60
1059,15
1060,60
1061,235
1062,2
1063,2
1064,25
1065,4970
1066,6
1067,10
1068,12
1069,28
1070,502
1071,18
1072,46
1073,28
1074,606
1075,33
1076,20
1077,274
1078,261
1079,16
1080,28
1081,177
1082,5
1083,6
1084,14
1085,6
1086,12
1087,12
1088,4
1089,0
1090,17
1091,196
1092,0
1093,6
1094,0
1095,1
1096,0
1097,1
1098,2
1099,57
1100,0
1101,4
1102,145
1103,18
1104,1
1105,4
1106,4
1107,114
1108,0
1109,7
1110,1
1111,34
1112,4
1113,24
1114,3
1115,2
1116,0
1117,12
1118,196
1119,10
1120,4
1121,17
1122,1
1123,3
1124,0
1125,1
1126,3
1127,3
1128,22
1129,1
1130,1
1131,34
1132,8
1133,4
1134,68
1135,27
1136,1
1137,0
1138,44
1139,11
1140,15
1141,2
1142,0
1143,0
1144,8
1145,3
1146,47
1147,224
1148,32
1149,4
1150,12
1151,1
1152,10
1153,94
1154,64
1155,6
1156,6
1157,24
1158,1
1159,0
1160,2
1161,2
1162,2
1163,25
1164,5
1165,1
1166,388
1167,0
1168,18
1169,7
1170,32
1171,23
1172,1
1173,28
1174,2
1175,1050
1176,64
1177,54
1178,451
1179,2
1180,174
1181,1
1182,2170
1183,2
1184,8
1185,17
1186,232
1187,310
1188,4
1189,3
1190,3
1191,50
1192,26
1193,3
1194,1
1195,1
1196,0
1197,288
1198,0
1199,274
1200,0
1201,4
1202,6
1203,2
1204,0
1205,11
1206,460
1207,3
1208,105
1209,2
1210,3
1211,87
1212,305
1213,1
1214,1
1215,544
1216,119
1217,243
1218,1
1219,4
1220,4
1221,0
1222,670
1223,566
1224,76
1225,72
1226,1
1227,4
1228,12
1229,237
1230,52
1231,32
1232,7
1233,354
1234,1
1235,8
1236,223
1237,0
1238,30
1239,630
1240,1782
1241,238
1242,975
1243,2
1244,628
1245,1192
1246,2
1247,754
1248,5
1249,288
1250,4
1251,96
1252,10
1253,1873
1254,17
1255,2
1256,216
1257,5
1258,80
1259,15
1260,402
1261,89
1262,20
1263,446
1264,105
1265,29577
1266,6
1267,2
1268,147
1269,15
1270,0
1271,1952
1272,33
1273,6
1274,514
1275,8
1276,22
1277,1453
1278,0
1279,11
1280,164
1281,1
1282,3
1283,868
1284,1
1285,6
1286,357465
1287,25
1288,0
1289,0
1290,0
1291,123
1292,567
1293,4
1294,10
1295,538
1296,0
1297,24
1298,41
1299,5187
1300,148
1301,6
1302,3
1303,65
1304,28
1305,172
1306,0
1307,46
1308,949
1309,9
1310,34
1311,2
1312,6
1313,2
1314,797
1315,344
1316,120
1317,8
1318,0
1319,650
1320,16
1321,8
1322,2
1323,47
1324,1246
1325,0
1326,126
1327,5
1328,6
1329,18
1330,2
1331,1
1332,48
1333,2
1334,0
1335,1
1336,2
1337,11
1338,2
1339,8
1340,14
1341,6
1342,763
1343,1
1344,13
1345,23
1346,403
1347,231
1348,93
1349,420
1350,2
1351,2
1352,4
1353,1
1354,0
1355,0
1356,0
1357,613
1358,2
1359,600
1360,2
1361,15
1362,64
1363,113
1364,72
1365,15
1366,2
1367,383
1368,18
1369,71
1370,1
1371,0
1372,2
1373,48
1374,6
1375,2
1376,25
1377,4
1378,12
1379,12
1380,280
1381,11
1382,64
1383,2
1384,433
1385,0
1386,40
1388,141
1389,1
1390,0
1391,1
1392,6
1393,90
1394,337
1395,4
1396,1
1397,198
1398,249
1399,125
1400,2
1401,1
1402,40
1403,0
1404,18
1405,0
1406,16
1407,13
1408,0
1409,6
1410,0
1411,2
1412,0
1413,1
1414,6
1415,207
1416,2
1417,0
1418,259
1419,1
1420,84
1421,12
1422,4
1423,700
1424,1
1425,4
1426,120
1427,240
1428,6
1429,0
1430,0
1431,1
1432,0
1433,59
1434,14
1435,12
1436,0
1437,24
1438,30
1439,45
1440,4
1441,2
1442,28
1443,0
1444,7
1445,119
1446,107
1447,21
1448,14
1449,50
1450,22
1451,2
1452,26
1453,17
1454,4
1455,8
1456,2
1457,5
1458,18
1459,6
1460,1
1461,492
1462,0
1463,3
1464,121
1465,1
1466,4
1467,38
1468,14
1469,3
1470,68342
1471,0
1472,6
1473,0
1474,48
1475,0
1476,282
1477,2
1478,2
1479,17
1480,2
1481,1
1482,2
1483,2
1484,30
1485,22
1486,2
1487,1
1488,72
1489,1614
1490,3
1491,10
1492,30
1493,43
1494,4
1495,0
1496,126
1497,44
1498,1
1499,1
