hist_authorAccountId,COUNT(hist_id)
1,327
1003,68
1007,52
1012,39
1013,56
1015,4
1017,2
1021,6
1028,12
1033,36
1041,86
1042,12
1044,2
1045,6
1051,74
1075,14
1084,16
1087,1
1088,1
1093,536
1095,18
1096,1
1097,20
11,1
111,3
11185,5
1119,15
1123,9
1137,34
1139,53
11437,47
1145,158
1146,41
11464,7
1150,13
1153,8
1156,1
1157,12
1158,58
1161,13
1179,70
118,28
1197,61
1210,43
1218,19
122,2
1220,18
1224,8
12256,19
1227,16
1228,3
1231,41
1246,16
1248,16
12567,9
12596,15
1278,4
1287,53
1289,69
1291,6
1305,1
1315,6
1328,62
13325,7
1333,39
1347,25
1348,2
136,18
1366,4
1374,4
1376,4
1380,4
1382,15
1387,2
1394,11
1408,275
14083,1
1409,1
1431,7
1432,1
1435,3
1439,12
1468,45
1471,235
1472,280
1475,34
1516,41
1549,21
1582,1
15837,17
1589,25
1590,8
1596,1
1597,27
1598,3
1600,4
1602,8
1609,19
1614,1
1618,3
1628,4
1632,1
1633,2
1635,46
16370,11
1638,1
1653,2
1654,34
1655,2
1663,7
1664,4
1665,2
1669,17
1670,6
1671,9
1672,2
16759,5
17,17
1726,28
17994,2
18008,7
18199,13
18288,2
18408,4
1895,4
190,13
19446,2
1949,1
19492,2
2,190
20421,14
2044,8
208,91
21341,1
21706,1
21707,2
2295,83
22970,3
2304,109
2305,73
2337,8
2411,1
2448,44
245,3
2471,155
2472,49
2519,12
25536,1
25601,16
2584,18
26246,1
26268,2
26640,8
2695,22
2730,15
2733,1
27769,16
28565,3
2917,21
29211,69
29271,7
2957,1
30003,4
30083,19
30483,37
3091,4
3108,21
31262,1
315,184
32204,43
3261,20
3280,4
32961,1
3331,10
33877,9
339,19
3414,25
3461,3
3573,19
36669,2
3683,9
37142,2
37222,1
383,25
38452,4
4,915
40,124
4037,9
4152,3
4221,6
430,57
4300,1
431,92
432,132
434,73
436,10
44,25
440,1
4416,1
443,2
444,19
446,3
44628,18
449,44
450,31
451,81
455,64
457,173
458,15
459,21
46,62
460,4
4610,193
4611,33
462,1
464,14
4663,26
467,8
470,6
4704,12
471,213
4761,1
477,6
479,12
480,15
481,18
482,27
4845,1
485,2
488,3
489,42
49,32
493,37
495,4
496,7
497,119
499,7
5,74
500,138
502,3
5025,24
503,76
5063,2
513,1
51623,9
518,3
523,7
524,1
526,5
527,1
5277,141
528,2
5285,158
529,196
5293,130
530,71
5306,40
5309,13
5310,13
5311,3
5319,179
5341,1
535,1
5355,191
5367,27
538,21
539,2
543,2
545,2
5465,15
566,3
569,4
570,1
572,23
577,236
582,162
583,4
587,80
591,73
592,68
5923,2
5940,1
595,6
598,295
59822,1
599,6
6,57
6017,2
606,3
6071,4
609,8
60974,9
6144,8
615,11
616,14
61637,7
617,5
618,6
6180,121
620,9
6203,10
621,36
6214,5
6234,1
627,54
62820,7
62965,7
63,1
631,1
6332,48
64723,2
65154,2
65230,7
65554,3
6567,6
659,176
661,6
66274,9
663,27
6658,38
667,1
668,52
669,1
675,32
680,18
685,36
692,3
693,4
709,60
7094,16
7096,25
7099,22
7105,2
7110,1
7128,81
7131,5
7137,1
7151,11
7162,53
7197,2
72096,45
721,1
7214,7
7215,35
722,230
723,11
7232,1
724,78
7248,3
7249,5
725,4
72574,5
726,360
728,2
729,48
7344,1
74,5
755,57
759,8
763,255
765,3
767,22
772,20
775,4
776,182
77876,28
79,50
790,1
797,10
798,33
8,108
814,7
83,247
83691,5
847,2
849,9
857,222
879,33
880,1
881,1
882,3
888,7
890,6
9,13
902,139
903,82
906,240
908,27
909,4
910,1
911,82
920,5
925,3
93368,2
934,126
935,157
936,40
938,21
940,90
941,1
9430,10
947,1
9486,13
951,24
957,8
964,9
972,30
973,11
988,46
995,5
