hist_authorAccountId,COUNT(hist_id)
1,227
100,14
1003,156
1005,2
1007,30
1012,5
1013,13
102,3
1028,23
103,2
1033,228
1036,58
1037,79
1038,22
1039,1
104,2
1041,5
1042,8
1044,5
1045,17
1049,1
1051,30
10533,81
1060,3
1069,6
107,119
1071,1
1075,3
1081,1
1084,3
1087,3
1093,151
1095,3
1097,2
11,16
1106,1
1108,2
1115,3
1119,2
1137,4
1139,2
114,2
11414,1
1142,1
11437,17
1145,4
1146,4
1153,32
1156,6
1157,2
1158,12
1161,4
1179,35
118,50
1180,1
1188,1
1200,1
1202,1
1203,1
1209,1
122,3
1220,1
1224,1
1226,3
1228,1
1231,6
1248,1
12567,2
12596,1
12752,1
1287,11
1289,28
1312,3
13148,1
13156,2
1328,11
13325,1
1333,13
13442,1
1347,5
13485,5
136,1
1374,1
1382,1
1387,1
1394,2
1408,56
1409,1
1439,7
1443,3
14568,1
1468,7
1471,71
1472,67
15,1
1508,1
1516,11
15337,2
1549,1
1565,1
1568,2
1584,1
1597,15
1598,6
1600,1
1602,2
1609,16
1628,5
16306,1
1633,1
1635,13
16370,4
1638,2
1644,14
1647,1
1654,1
1657,1
1665,1
1669,90
1671,5
1675,2
16759,2
1684,1
17,15
17229,13
1726,2
17873,18
17994,1
18008,1
18199,3
18288,1
1895,2
190,3
19474,1
19582,1
19856,1
2,26
20266,1
20421,4
2044,1
208,7
20926,1
210,6
21341,1
214,8
21706,1
21707,2
225,2
226,1
22886,1
2295,22
2304,22
23040,2
2305,25
2337,2
24046,1
2448,9
245,1
247,1
2471,50
2472,1
25,1
2584,2
26246,1
26247,4
26268,11
26805,1
270,1
2730,3
27622,46
27769,8
29211,1
29271,3
29441,1
2957,22
3,65
30083,12
30483,12
30782,1
3091,14
31,1
3108,1
315,51
32165,4
32204,30
3224,1
326,6
3261,2
33021,1
3331,3
339,6
3461,9
3543,2
3573,7
3683,2
37142,6
37145,2
37222,1
3780,1
38,1
383,12
4,380
40,40
4110,40
4221,12
430,24
431,42
432,3
434,13
44,41
440,8
4416,1
44181,1
4419,1
442,3194
443,1
446,1
44628,9
449,2
4507,1
451,4
455,14
457,33
458,1
46,32
460,2
4610,11
4611,16
462,2
464,14
4663,2
471,32
475,1
477,5
4789,1
479,3
480,1
482,26
485,7
487,1
488,4
489,27
49,31
493,2
496,19
497,38
499,4
5,95
500,4
5025,2
503,1
504,1
5063,2
507,1
51,4
513,1
51855,1
521,1
523,1
525,1
526,1
527,2
5277,16
5278,1
5282,2
5285,31
529,194
5293,15
530,25
5306,6
5308,32
5309,48
5311,1
5319,22
5338,7
5341,14
5355,2
5367,1
538,6
53844,1
5413,1
543,1
5443,1
545,5
546,1
5465,13
55591,18
5648,1
5666,16
5690,1
5692,4
571,2
572,1
577,55
579,1
582,6
583,18
587,41
591,26
592,17
5940,1
595,2
5959,5
598,123
599,4
6,53
60059,1
60240,3
603,1
6037,1
604,1
606,13
609,5
60974,15
6144,16
615,9
616,7
61741,5
618,1
6180,8
621,7
6234,1
627,25
62788,4
62965,1
63,1
631,3
6332,42
63635,79
63661,1
6426,1
64723,2
65554,2
658,1
659,73
6590,6
663,1
6658,3
6662,1
6674,1
675,6
67832,1
67921,10
680,1
681,1
685,16
692,2
69704,1
703,1
708,2
709,8
7094,10
7099,3
7122,8
71241,1
7128,9
7151,4
7162,6
7193,1
7197,1
7200,80
721,6
72106,1
7214,20
7215,3
7217,1
722,307
7222,15
7229,6
723,3
7230,5
7239,2
724,16
7248,4
7249,2
725,1
7252,1
72574,4
726,30
729,3
73,2
73104,1
7344,1
74,10
75215,1
755,28
75523,3
763,288
764,1
767,4
771,2
772,2
775,2
776,178
77876,1
78098,3
78140,1
78193,2
783,3
785,4
79,46
79236,1
79566,1
79641,1
797,1
798,7
8,103
81063,1
814,4
8208,10
83,91
83569,1
83691,2
844,1
847,1
849,5
85386,1
85486,1
857,240
87330,1
879,5
88043,8
881,86
882,2
885,1
887,1
89,1
890,20
9,14
90,1
902,86
903,91
9048,20
905,12
906,116
908,236
911,20
925,18
934,40
935,140
936,49
938,7
940,20
941,1
942,1
95,1
951,26
957,2
95777,1
964,1
967,1
971,7
972,2
973,4
97424,1
978,1
988,7
993,1
995,2
