ch_changeIdNum,c
142,7
162,7
254,2
255,12
256,12
257,12
258,12
259,12
260,12
261,7
262,12
263,12
264,12
265,12
268,10
270,20
274,23
276,10
277,7
278,99
283,12
284,12
285,12
286,12
287,12
288,12
289,12
290,12
291,12
292,12
293,12
294,12
295,12
299,12
300,12
301,12
303,99
304,12
305,12
306,12
307,12
309,7
311,7
313,7
330,7
336,12
337,12
338,12
339,12
340,12
341,12
342,7
345,12
346,12
347,12
363,7
377,12
378,12
379,12
385,12
386,12
387,12
388,12
390,12
735,7
1022,12
1023,12
1024,12
1025,12
1026,12
1032,12
1033,12
1034,12
1035,12
1036,19
1041,12
1042,12
1044,12
1045,12
1046,12
1047,12
1049,12
1050,12
1051,12
1052,12
1053,12
1054,12
1055,12
1059,2
1060,7
1072,12
1073,12
1095,23
1096,23
1097,12
1098,12
1099,12
1100,12
1101,12
1102,12
1103,12
1104,12
1105,12
1106,12
1107,12
1108,12
1109,12
1110,12
1111,12
1112,12
1113,12
1114,12
1115,12
1116,12
1125,2
1128,10
1134,23
1137,23
1140,12
1141,12
1142,2
1143,2
1150,12
1151,12
1152,48
1154,12
1155,12
1156,12
1163,19
1165,19
1166,19
1171,12
1180,12
1493,12
1499,12
1501,12
1502,12
1511,12
1529,12
1540,7
1542,12
1543,12
1544,12
1545,12
1547,12
1548,12
1549,7
1550,20
1551,7
1552,12
1553,7
1554,12
1555,12
1556,12
1565,7
1567,99
1568,7
1570,7
1572,7
1576,7
1580,2
1583,12
1584,12
1585,12
1586,12
1587,2
1593,7
1594,7
1596,7
1597,99
1598,7
1599,99
1600,7
1601,12
1602,12
1603,12
1604,99
1605,7
1606,99
1607,7
1608,12
1609,12
1613,19
1619,12
1620,99
1622,7
1626,7
1627,7
1628,99
1630,7
1631,7
1632,7
1633,7
1635,12
1638,12
1869,68
1894,23
1908,20
1941,7
1952,19
1978,68
1979,68
1980,68
1981,68
1982,68
1983,68
1988,20
1989,20
2042,1
2043,1
2059,10
2086,10
2087,10
2098,3
2101,99
2109,3
2110,12
2111,12
2112,12
2113,99
2114,12
2115,12
2116,12
2117,12
2127,68
2129,12
2130,12
2131,12
2132,12
2133,12
2134,12
2137,68
2139,68
2140,7
2142,99
2143,7
2145,99
2146,7
2148,99
2149,99
2150,7
2152,7
2153,23
2156,68
2158,68
2159,68
2161,68
2166,12
2167,12
2168,12
2169,7
2170,7
2173,23
2174,23
2175,23
2176,23
2177,23
2180,7
2183,23
2184,23
2185,23
2186,7
2195,99
