ch_authorAccountId,COUNT(ch_id)
1,261
100,16
1000,2
10022,1
1003,75
1005,14
1006,1
1007,32
1008,1
1009,2
1012,54
1013,76
1014,1
1015,5
1017,4
1019,3
102,8
1021,7
1023,1
1026,1
10272,1
1028,8
103,3
1033,28
10330,7
1034,3
1036,12
1037,5
1038,3
104,4
1041,84
1042,29
1044,3
1045,8
1049,4
1051,62
10533,89
1058,5
1060,7
10602,14
10633,2
1068,1
1069,22
1071,3
1075,11
108,4
1080,2
1084,36
1087,11
1088,1
10891,9
1090,1
1092,1
1093,462
1095,11
1096,6
1097,13
1099,2
11,12
110,1
1102,1
1105,3
111,2
1112,1
1113,2
1115,2
1117,1
1119,11
1123,1
1137,29
11384,2
1139,62
114,2
1141,2
11414,13
1142,10
11435,6
11437,46
1145,87
1146,10
11464,1
1149,3
1150,11
1152,1
1153,13
1155,1
1156,15
1157,4
1158,45
116,3
1161,13
11644,1
1179,135
118,106
1180,4
11837,7
1186,1
1187,6
1197,37
1198,1
1200,8
1202,7
1203,5
12042,2
1207,3
12071,1
12075,1
12093,1
121,4
1210,41
1211,1
12145,5
12147,1
12148,3
12149,3
1218,22
122,2
1220,18
1223,4
1224,45
12256,39
1226,3
1227,16
1228,14
123,1
1231,48
12380,1
1240,3
12447,1
1246,6
12476,1
1248,25
12596,5
126,1
1260,2
1261,1
1262,1
12752,6
1278,11
1287,65
1289,100
129,1
1290,1
1291,4
12924,5
1299,1
130,4
13022,1
1304,1
1305,3
1312,1
1313,11
1314,1
13148,1
1315,14
13156,6
1317,1
1319,3
1326,2
13325,7
1333,45
13442,1
1347,41
13485,4
1353,6
136,2
1366,2
1368,1
1371,1
1374,8
1376,3
1378,1
1379,5
1380,4
1382,20
1384,4
1387,2
1389,1
1390,1
13920,2
1393,3
1394,12
1395,1
1396,2
1397,9
13980,5
1408,183
14083,7
1409,5
1420,1
1423,1
1433,1
14388,1
1439,3
1443,1
1451,1
14568,4
1465,2
14668,1
1467,2
1468,31
1471,119
1472,117
1475,50
1476,2
1477,6
1493,2
14940,4
14952,5
15,1
15070,1
1508,1
1516,16
15184,4
15337,1
15481,4
1549,7
1550,1
1555,1
15557,3
1556,2
1565,1
1568,4
15727,5
1578,8
1583,3
15837,17
1584,1
1589,17
15912,5
1594,2
1596,1
1597,22
1598,11
1600,3
1607,1
1609,32
16113,1
1613,1
1614,1
1617,2
1618,2
16180,3
1620,6
16243,3
16257,10
1626,3
1628,13
16290,1
1630,1
16300,1
16306,1
1631,13
1632,14
1633,5
1635,44
16370,11
1638,14
1644,6
16490,4
1654,15
1655,42
1663,4
1664,3
1665,2
1666,1
1669,24
1670,24
1671,9
16741,1
16759,2
1684,4
16951,2
17,16
1700,1
17229,6
1726,54
1736,1
17873,27
17994,5
18008,10
1811,2
18199,21
1821,2
18252,2
18288,2
18383,3
18429,6
18455,1
1846,4
18489,3
18770,1
1882,2
1885,1
18934,1
1895,8
190,19
19455,1
19474,3
1957,1
19861,1
2,34
2006,1
20074,3
20103,9
20266,1
20273,1
20421,25
2044,15
2054,1
20699,1
2070,1
208,149
20936,2
210,10
2117,3
21237,1
21277,1
21341,6
2139,3
214,10
21459,1
2194,1
22025,6
22146,3
224,2
22490,1
225,13
22512,1
2257,1
2264,3
227,3
22740,1
22864,2
22886,4
22941,2
2295,43
22970,11
230,1
2304,119
23040,3
2305,32
23125,3
232,1
23229,2
2337,2
2352,1
23640,5
23797,1
23827,1
24410,5
2448,40
245,10
