hist_authorAccountId,MIN(hist_createdTime)
1,"2010-02-02 14:53:40"
1003,"2013-08-22 18:00:30"
1007,"2013-04-18 15:42:25"
1012,"2013-01-16 13:25:10"
1013,"2014-04-07 15:15:04"
1015,"2013-07-29 12:31:13"
1017,"2014-04-19 10:49:42"
1021,"2013-11-28 14:55:18"
1028,"2016-06-06 18:18:51"
1033,"2013-09-17 18:35:32"
1041,"2013-12-12 21:09:57"
1042,"2015-06-03 00:58:48"
1044,"2016-02-26 18:13:56"
1045,"2013-11-14 14:53:42"
1051,"2014-02-12 21:21:44"
1075,"2013-07-31 14:09:55"
1084,"2014-03-11 11:54:21"
1087,"2013-12-16 15:21:56"
1088,"2014-01-12 21:03:27"
1093,"2013-11-18 08:00:03"
1095,"2013-04-19 20:03:51"
1096,"2016-04-22 09:58:04"
1097,"2013-05-09 13:53:10"
11,"2012-04-03 10:24:54"
111,"2012-06-04 20:47:24"
11185,"2015-06-11 12:46:14"
1119,"2014-02-13 12:18:43"
1123,"2014-08-28 20:26:13"
1137,"2013-04-17 14:51:53"
1139,"2013-06-03 09:47:55"
11437,"2015-04-22 10:34:09"
1145,"2013-06-03 06:58:11"
1146,"2013-05-13 08:44:51"
11464,"2015-07-06 11:33:56"
1150,"2013-07-04 09:28:04"
1153,"2013-11-17 18:33:12"
1156,"2014-06-24 13:32:33"
1157,"2015-08-04 12:54:16"
1158,"2013-10-25 13:43:14"
1161,"2014-08-07 08:42:09"
1179,"2015-01-25 08:56:54"
118,"2012-03-13 14:22:33"
1197,"2013-09-27 15:31:00"
1210,"2013-10-08 12:19:08"
1218,"2015-08-25 08:43:33"
122,"2014-01-28 22:25:46"
1220,"2013-07-31 15:56:28"
1224,"2013-11-28 14:49:49"
12256,"2015-06-22 15:07:41"
1227,"2013-06-05 10:47:24"
1228,"2013-10-28 15:39:18"
1231,"2015-07-02 20:35:26"
1246,"2013-08-20 08:12:46"
1248,"2015-09-17 07:38:23"
12567,"2015-02-04 18:35:55"
12596,"2015-04-22 14:58:03"
