hist_authorAccountId,MIN(hist_createdTime)
1,"2009-12-01 01:07:16"
100,"2011-02-17 19:58:08"
1003,"2013-05-01 19:03:49"
1005,"2015-05-09 19:17:13"
1007,"2013-04-15 12:56:25"
1012,"2013-01-16 13:31:05"
1013,"2014-03-19 16:38:53"
102,"2010-12-30 23:40:59"
1028,"2016-01-21 21:59:44"
103,"2010-12-08 21:00:05"
1033,"2013-02-13 14:54:09"
1036,"2013-05-09 15:43:30"
1037,"2013-04-19 12:29:46"
1038,"2013-04-16 16:25:40"
1039,"2013-06-05 22:56:16"
104,"2013-03-15 11:24:30"
1041,"2014-01-03 15:14:52"
1042,"2013-11-28 20:36:21"
1044,"2015-07-23 21:29:10"
1045,"2013-02-28 12:43:10"
1049,"2014-04-03 11:59:24"
1051,"2014-05-13 20:31:16"
10533,"2015-01-19 14:55:20"
1060,"2013-02-19 23:58:43"
1069,"2015-01-12 23:48:14"
107,"2011-04-29 19:01:02"
1071,"2013-02-20 09:25:33"
1075,"2013-11-14 18:48:25"
1081,"2015-10-23 20:06:17"
1084,"2013-05-09 14:36:34"
1087,"2013-10-25 12:40:45"
1093,"2013-07-30 09:03:57"
1095,"2013-05-16 14:01:20"
1097,"2013-05-21 14:27:02"
11,"2009-12-11 12:43:51"
1106,"2013-05-31 22:05:23"
1108,"2016-05-04 15:14:22"
1115,"2014-12-08 23:51:27"
1119,"2016-01-14 19:04:59"
1137,"2014-07-24 07:59:28"
1139,"2013-06-04 11:17:58"
114,"2011-03-17 14:20:40"
11414,"2014-12-11 12:45:15"
1142,"2014-05-08 20:42:06"
11437,"2015-01-19 16:43:48"
1145,"2013-09-03 06:52:03"
1146,"2014-09-24 08:22:14"
1153,"2013-10-17 19:55:50"
1156,"2014-05-31 12:57:43"
1157,"2016-06-15 12:13:10"
1158,"2013-10-21 13:29:50"
1161,"2016-10-21 15:44:50"
1179,"2013-05-03 13:22:43"
118,"2011-12-02 09:12:09"
1180,"2014-09-29 16:53:31"
1188,"2014-10-04 19:56:32"
1200,"2013-05-09 18:50:48"
1202,"2013-05-13 15:51:14"
1203,"2014-10-04 20:04:49"
1209,"2013-07-29 17:38:21"
122,"2011-02-24 00:07:53"
1220,"2013-07-04 17:00:28"
1224,"2013-09-24 13:25:19"
1226,"2013-12-12 16:23:39"
1228,"2013-12-10 18:14:50"
1231,"2014-04-24 18:26:30"
1248,"2015-09-17 07:38:14"
12567,"2014-11-19 18:45:51"
12596,"2016-06-01 05:21:53"
12752,"2015-04-30 23:33:26"
1287,"2014-11-14 08:55:59"
1289,"2014-04-29 00:08:30"
1312,"2014-01-13 17:47:02"
13148,"2015-02-17 18:14:24"
13156,"2015-03-04 13:35:14"
1328,"2013-11-15 17:06:08"
13325,"2016-02-02 10:20:42"
1333,"2015-10-02 08:50:06"
13442,"2015-01-08 10:32:59"
1347,"2014-01-13 08:24:06"
13485,"2014-12-01 18:15:07"
136,"2014-06-06 15:27:02"
1374,"2014-09-24 05:55:22"
1382,"2014-11-27 12:14:23"
1387,"2013-10-08 12:26:46"
1394,"2016-04-07 10:07:26"
1408,"2013-10-24 13:27:47"
1409,"2015-09-10 06:15:35"
1439,"2014-06-17 08:41:41"
1443,"2013-10-08 19:53:47"
14568,"2016-09-02 17:13:43"
1468,"2014-09-10 16:25:08"
1471,"2014-01-29 15:19:43"
1472,"2013-11-28 14:09:03"
15,"2011-05-10 22:02:19"
1508,"2013-09-27 13:54:30"
1516,"2014-08-14 09:25:03"
15337,"2015-04-30 17:53:35"
1549,"2013-11-14 19:46:58"
1565,"2013-10-09 14:34:55"
1568,"2014-02-07 19:14:29"
1584,"2015-08-24 10:27:51"
1597,"2014-05-15 07:36:56"
1598,"2014-05-15 12:06:56"
1600,"2015-09-16 14:08:15"
1602,"2014-02-18 09:49:52"
1609,"2015-11-17 14:47:42"
1628,"2015-08-14 18:17:07"
16306,"2016-07-01 00:47:50"
1633,"2013-11-15 14:36:18"
1635,"2014-01-21 09:23:19"
16370,"2016-10-17 15:50:04"
1638,"2015-07-05 08:14:20"
1644,"2013-11-16 02:30:22"
1647,"2013-11-15 14:38:20"
1654,"2016-02-29 09:14:50"
1657,"2013-11-16 01:58:20"
1665,"2016-11-16 14:44:24"
1669,"2014-08-01 00:41:09"
1671,"2014-01-22 23:06:21"
1675,"2013-12-10 21:51:21"
16759,"2015-05-07 11:19:59"
1684,"2015-04-26 20:11:17"
17,"2012-12-27 08:05:44"
17229,"2015-11-24 19:21:37"
1726,"2014-01-10 15:00:54"
17873,"2015-08-03 15:07:00"
17994,"2016-04-25 07:34:51"
18008,"2015-11-03 08:34:03"
18199,"2015-10-02 18:20:51"
18288,"2015-12-22 17:01:57"
1895,"2015-03-23 07:36:57"
190,"2013-11-13 18:54:50"
19474,"2015-09-09 11:10:33"
19582,"2015-01-28 13:56:16"
19856,"2015-02-03 19:17:09"
2,"2010-03-05 15:12:48"
20266,"2015-02-12 09:53:17"
20421,"2016-05-02 08:28:51"
2044,"2016-07-25 07:43:37"
208,"2011-03-23 21:16:43"
20926,"2016-04-13 18:45:43"
210,"2011-05-12 19:39:09"
21341,"2015-05-18 13:57:21"
214,"2011-04-14 14:41:19"
21706,"2016-04-20 10:52:33"
21707,"2015-05-18 13:50:01"
225,"2013-08-21 16:35:15"
226,"2011-05-13 07:14:19"
22886,"2016-09-19 15:58:11"
2295,"2013-12-12 10:33:50"
2304,"2013-12-12 16:34:39"
23040,"2015-05-26 23:00:17"
2305,"2013-12-12 10:25:13"
2337,"2015-03-20 06:36:32"
24046,"2015-06-19 14:02:09"
2448,"2013-12-18 11:09:24"
245,"2015-02-07 02:04:57"
247,"2011-07-12 06:52:24"
2471,"2014-05-16 18:05:55"
2472,"2016-05-25 12:03:38"
25,"2010-02-03 12:43:17"
2584,"2016-05-17 12:59:09"
26246,"2016-10-04 09:09:01"
26247,"2016-10-03 15:23:32"
26268,"2016-06-15 14:09:05"
26805,"2016-10-13 08:09:49"
270,"2011-09-22 12:13:14"
2730,"2016-05-25 12:39:15"
27622,"2015-04-29 14:12:30"
27769,"2016-03-09 09:53:38"
29211,"2015-07-03 14:53:29"
29271,"2015-06-16 12:14:30"
29441,"2015-07-16 13:17:46"
2957,"2014-03-09 18:29:36"
3,"2010-01-06 13:58:14"
30083,"2015-08-07 18:06:55"
30483,"2016-01-18 18:53:53"
30782,"2015-06-19 13:51:39"
3091,"2014-10-10 17:16:33"
31,"2010-02-11 19:34:38"
