ch_changeIdNum,s
1,12
2,547
3,2
4,8
5,30
6,1473
7,27
8,338
9,615
10,92
11,0
12,2
13,33
14,28
15,7
16,41
17,799
18,3
19,3
20,8
21,247
22,7
23,408
24,11
25,192
26,1606
27,1
28,612
29,3006
30,102
31,1
32,14
33,79
34,10
35,26
36,134
37,4308
38,580
39,385
40,96
41,101
42,17
43,8111
44,96
45,128
46,0
47,3
48,2
49,111
50,2
51,7
52,2
53,1394
54,6
55,8
56,473
57,1429
58,279
59,78
60,4
61,20
62,7
63,12
64,1
65,3
66,64
67,34
68,6
69,38
70,8637
71,0
72,11
73,307
74,27
76,6
77,124
78,13
79,14
80,26
81,6
82,14
83,207
84,654
85,439
86,6
87,113
88,62
89,8
90,734
91,616
92,14
93,1
94,6
95,4
96,61
97,6
98,1
99,14
100,55
101,130
102,3
103,0
104,59
105,624
106,11478
107,1
108,5
109,177
110,783
111,10
112,18
113,576
114,32
115,4
116,91
117,18
118,30
119,66
120,60
121,2
122,36
123,28
124,4
125,8
126,6
127,4
128,238
129,298
130,202
131,26
132,8
133,22
134,10
135,4
136,2
137,10
138,4
139,42
140,30
141,6
142,2358
143,122
144,24
145,136
146,43
147,64
148,9
149,506
150,19
151,12
152,433
153,213
154,26
155,40
156,8
157,136
158,50
159,52
160,69
161,84
162,2088
163,744
164,8
165,24
166,4
167,28
168,2
169,4
170,2
171,81
172,60
173,6
174,214
175,2
176,6
177,2
178,132
179,104
180,978
181,6
182,26
183,6
184,48
185,32
186,44
187,8
188,82
189,26
190,48
191,94
192,6
193,54
194,58
195,0
196,656
197,48
198,40
199,18
200,54
201,8
202,76
203,20
204,356
205,87
206,2
207,2
208,124
209,2
210,2
211,20
212,4
213,136
214,34
215,20
216,14
217,0
218,24
219,32
220,7
221,4
222,485
223,27
224,22
225,21
226,2
227,59
228,17403
229,7170
230,13227
231,4
232,52
233,32
234,14
235,376
236,140
237,147
238,2426
239,4
240,16
241,58
242,8
243,2
244,12
245,0
246,96
247,48
248,42
249,2
250,76
251,458
252,10
253,70
254,123
255,22
256,126
257,25
258,194
259,5
260,194
261,217
262,126
263,276
264,51
265,141
266,54
267,28
268,542
269,998
270,97
271,2
272,36
273,105
274,9
275,26
276,56
277,210
278,2897
279,6
280,10
281,96
282,92
283,42
284,2916
285,0
286,33
287,174
288,114
289,2
290,0
291,0
292,0
293,0
294,60
295,4
296,52
297,93
298,28
299,112
300,26
301,46
302,362
303,333
304,38
305,2
306,166
307,18
308,10
309,52
310,610
311,0
312,225
313,98
314,32
315,2
316,228
317,50
318,414
319,58
320,180
321,308
322,8
323,479
324,18
325,32
326,46
327,10
328,1622
329,0
330,261
331,153
332,54
333,21
334,48
335,94
336,1026
337,100
338,126
339,66
340,72
341,80
342,52
343,24
344,24
345,146
346,108
347,26
348,178
349,76
350,158
351,74
352,4
353,2
354,6
355,2
356,16379
357,0
358,10
359,400
360,72
361,4
362,246003
363,81
364,4
365,8
366,4
367,18
368,24
369,130
370,395
371,58
372,32
373,48
374,120
375,86
376,20
377,132
378,54
379,80
380,356
381,12
382,10
383,46
384,6
385,6
386,48
387,94
388,28
389,510
390,402
391,795
392,74
393,4
394,56
395,18
396,4
397,158
398,194
399,4
400,18
401,6
402,116
403,186
404,14
405,96
406,249
407,14
408,6
409,28
410,40
411,38
412,28
413,54
414,2
415,570
416,4
417,56
418,1812
419,40
420,8
421,8
422,18
423,2
424,36
425,66
426,141
427,4
428,14
429,64
430,87
431,42
432,106
433,175
434,74
435,2470
436,4532
437,2540
438,2362
439,2428
440,54
441,74
442,144
443,2
444,76
445,14
446,42
447,2
448,30
449,52
450,54
451,0
452,3
453,3
454,2
455,6880
456,18
457,117
458,9
459,14
460,0
461,50
462,192
463,68
464,162
465,66
466,86
467,178
468,4
469,6
470,20
471,304
472,48
473,2
474,16
475,80
476,152
477,2
478,16
479,72
480,302
481,21
482,54
483,30
484,27
485,6
486,8
487,99
488,14
489,48
490,6
491,26
492,270
493,22
494,2
495,4
496,20
497,4
498,6
499,16
500,6
501,46
502,18
503,41
504,96
505,1248
506,268
507,45
508,56
509,1932
510,80
511,162
512,14
513,2
514,6
515,8
516,372
517,4
518,2
519,26
520,8
521,14
522,168
523,36
524,138
525,70
526,0
527,6
528,4
529,10
530,159
531,53
532,260
533,622
534,764
535,4
536,794
537,48
538,14
539,8
540,32
541,2
542,2
543,105
544,6
545,6
546,101
547,184
548,51
549,24
550,46
551,22
552,0
553,15
554,0
555,0
556,70
557,44
558,2
559,21
560,3
561,1060
562,255
563,2089
564,22
565,96
566,136
567,4
568,20
569,116
570,6
571,0
572,4
573,16
574,108
575,6
576,6
577,807
578,24
579,84
580,38
581,10
582,176
583,68
584,4
585,444
586,42
587,404
588,4
589,2
590,2
591,54
592,2
593,116
594,30
595,170
596,98
597,68
598,22
599,14
600,50
601,92
602,6
603,28
604,4
605,8
606,776
607,58
608,110
609,0
610,22
611,16
612,54
613,2
614,0
615,0
616,0
617,10
618,209
619,44
620,633
621,21785
622,3594
623,12
624,2470
625,25368
626,713
627,4
628,10
629,21548
630,0
631,39
632,0
633,174
634,82
635,42
636,15261
637,20879
638,78
639,6
640,1430
641,58
642,16
643,118
644,60
645,60
646,25
647,132
648,201
649,4
650,776
651,46
652,66
653,16
654,2
655,16
656,10768
657,2
658,60
659,513
660,1172
661,8
662,6
663,18
664,6
665,2187
666,200
667,5
668,9565
669,417
670,27
671,12
672,14
673,72
674,94
675,40
676,346
677,150
678,100
679,45
680,10
681,56
682,160
683,44
684,37
685,51
686,6
687,460
688,352
689,2
690,14
691,6
692,1181
693,128
694,2
695,86
696,24
697,8
698,195
699,70
700,2
701,63
702,210
703,6
704,0
705,296
706,271
707,14
708,184
709,1638
710,10
711,38
712,16
713,8
714,6
715,254
716,14
717,66
718,24
719,356
720,366
721,520
722,14
723,18
724,118
725,84
726,34
727,144
728,12
729,30
730,6
731,39
732,108
733,466
734,16
735,2
736,26
737,42
738,21
739,32
740,114
741,82
742,528
743,6
744,9
745,10
746,337
747,75
748,4
749,14
750,6
751,150
752,9
753,46
754,4
755,68
756,27
757,14
758,20
759,46
760,2018
761,10
762,2
763,208
764,22
765,8
766,18
767,18
768,69
769,54
770,6
771,4
772,27
773,8
774,162
775,165
776,2
777,0
778,33
779,2266
780,46
781,24
782,156
783,72
784,47
785,273
786,165
787,155
788,2
789,387
790,674
791,6
792,12
793,47
794,58
795,10
796,140
797,2
798,18
799,36
800,32
801,74
802,68
803,36
804,18
805,10
806,24
807,32
808,0
809,46
810,50
811,4
812,8
813,2
814,34
815,108
816,320
817,4
818,112
819,12
820,4
821,6
822,0
823,72
824,16
825,2
826,6
827,6
828,0
829,47
830,2
831,2
832,490
833,18
834,2
835,138
836,2
837,4
838,2
839,1155
840,8
841,108
842,38
843,4
844,483
845,30
846,76
847,261
848,155
849,8
850,160
851,98
852,72
853,7
854,1725
855,42
856,9
857,28
858,334
859,8
860,36
861,10
862,3808
863,2
864,132
865,18
866,24
867,130
868,362
869,24
870,6
871,18
872,45
873,46
874,85
875,160
876,36
877,32
878,75
879,66
880,28
881,12
882,144
883,26
884,90
885,30
886,10
887,18
888,84
889,120
890,2
891,12
892,92
893,28
894,2
895,69
896,2
897,4
898,6
899,28
900,0
901,441
902,140
903,16
904,126
905,170
906,20
907,24
908,80
909,1829
910,8836
911,10
912,452
913,68
914,9
915,2
916,4
917,348
918,3
919,0
920,894
921,56
922,44
923,2996
924,8
925,98
926,64
927,4
928,46
929,16
930,50
931,160
932,32
933,18
934,72
935,26
936,34
937,24
938,32
939,6
940,50
941,30
942,3026
943,108
944,2997
945,20
946,4
947,330
948,8
949,408
950,7
951,3
952,3
953,6
954,2
955,12
956,2
957,66
958,84
959,4
960,428
961,8
962,9
963,41
964,147
965,84
966,66
967,66
968,18
969,2
970,334
971,54
972,672
973,24
974,174
975,60
976,8
977,18
978,861
979,18
980,57
981,2
982,2
983,3
984,0
985,54
986,4
987,42
988,20
989,5936
990,2582
991,10094
992,2354
993,10800
994,14
995,17
996,2
997,110
998,444
999,11
1000,44
1001,24
1002,290
1003,1095
1004,151
1005,34
1006,6
1007,2
1008,56
1009,212
1010,68
1011,64
1012,168
1013,394
1014,4
1015,170
1016,33
1017,80
1018,116
1019,12
1020,30
1021,144
1022,24
1023,94
1024,22
1025,40
1026,56
1027,2
1028,22
1029,2
1030,2
1031,39
1032,0
1033,14
1034,40
1035,32
1036,94
1037,48
1038,270
1039,4
1040,100
1041,774
1042,480
1043,12
1044,3
1045,36
1046,3
1047,1746
1048,6
1049,2508
1050,2391
1051,1062
1052,3303
1053,339
1054,177
1055,3
1056,3594
1057,24
1058,12
1059,3
1060,651
1061,429
1062,3
1063,231
1064,381
1065,48
1066,3
1067,129
1068,57
1069,3
1070,42
1071,30
1072,12
1073,291
1074,438
1075,18
1076,3
1077,24
1078,4
1079,77
1080,8120
1081,2720
1082,7768
1083,14328
1084,14
1085,10
1086,24
1087,6
1088,172
1089,76
1090,80
1091,1318
1092,36
1093,32
1094,4
1095,2
1096,184
1097,8
1098,624
1099,1672
1100,2
1101,2
1102,18
1103,2560
1104,54
1105,468
1106,26
1107,34
1108,8
1109,20
1110,22
1111,24
1112,84
1113,16
1114,2
1115,280
1116,721
1117,276
1118,26
1119,424
1120,560
1121,4
1122,4
1123,152
1124,0
1125,183
1126,4
1127,3
1128,62
1129,234
1130,14193
1131,8
1132,156
1133,28
1134,2
1135,910
1136,79
1137,2
1138,20
1139,368
1140,2419
1141,20
1142,104
1143,2
1144,130
1145,6
1146,15
1147,3
1148,97
1149,98
1150,12
1151,4
1152,30
1153,0
1154,0
1155,23
