ch_changeIdNum,c
1,6
2,7
3,1
4,2
5,4
6,46
7,1
8,21
9,27
10,3
11,1
12,2
13,5
14,1
15,3
16,18
17,1
18,2
19,1
20,2
21,8
22,1
23,2
24,2
25,16
26,2
27,1
28,2
29,3
30,36
31,1
32,4
33,3
34,3
35,6
36,42
37,8
38,12
39,6
40,4
41,6
42,4
43,93
44,18
45,1
46,1
47,2
48,1
49,2
50,3
51,1
52,1
53,54
54,1
55,6
56,63
57,51
58,44
59,4
60,1
61,4
62,2
63,1
64,1
65,1
66,4
67,17
68,2
69,4
70,147
71,16
72,6
73,69
74,1
76,2
77,6
78,3
79,1
80,9
81,2
82,4
83,13
84,1
85,7
86,1
87,8
88,4
89,4
90,24
91,37
92,1
93,1
94,3
95,1
96,4
97,5
98,1
99,10
100,3
101,2
102,1
103,1
104,3
105,31
106,188
107,1
108,1
109,11
110,18
111,2
112,4
113,18
114,4
115,2
116,3
117,4
118,6
119,2
120,2
121,2
122,4
123,4
124,2
125,2
126,3
127,2
128,120
129,86
130,130
131,4
132,6
133,2
134,2
135,2
136,2
137,2
138,2
139,4
140,2
141,2
142,2
143,12
144,2
145,2
146,40
147,8
148,3
149,191
150,6
151,16
152,36
153,14
154,8
155,6
156,3
157,10
158,22
159,8
160,37
161,12
162,72
163,26
164,2
165,2
166,2
167,8
168,2
169,2
170,6
171,3
172,15
173,3
174,2
175,2
176,2
177,44
178,6
179,16
180,194
181,2
182,2
183,2
184,8
185,8
186,12
187,2
188,4
189,4
190,8
191,10
192,10
193,10
194,16
195,2
196,26
197,2
198,2
199,2
200,8
201,4
202,2
203,2
204,10
205,6
206,2
207,2
208,8
209,2
210,2
211,2
212,4
213,36
214,8
215,6
216,2
217,8
218,1
219,11
220,1
221,1
222,35
223,7
224,2
225,3
226,2
227,7
228,3
229,6
230,3
231,2
232,4
233,2
234,7
235,8
236,14
237,14
238,2
239,2
240,2
241,8
242,2
243,2
244,4
245,3
246,3
247,6
248,8
249,2
250,24
251,8
252,2
253,18
254,12
255,2
256,24
257,5
258,4
259,3
260,4
261,10
262,4
263,10
264,6
265,27
266,36
267,24
268,266
269,284
270,4
271,2
272,2
273,20
274,5
275,2
276,4
277,2
278,72
279,12
280,5
281,4
282,4
283,12
284,86
285,4
286,15
287,115
288,66
289,2
290,2
291,8
292,2
293,4
294,2
295,2
296,4
297,9
298,2
299,16
300,2
301,4
302,2
303,3
304,10
305,2
306,2
307,8
308,2
309,4
310,20
311,2
312,16
313,4
314,8
315,2
316,102
317,40
318,15
319,10
320,132
321,28
322,2
323,4
324,6
325,4
326,2
327,2
328,6
329,4
330,27
331,6
332,8
333,15
334,4
335,36
336,236
337,46
338,24
339,60
340,44
341,36
342,24
343,28
344,2
345,7
346,50
347,26
348,12
349,36
350,76
351,28
352,2
353,2
354,2
355,2
356,1562
357,2
358,10
359,39
360,12
361,4
362,18
363,9
364,2
365,2
366,4
367,14
368,3
369,20
370,15
371,32
372,8
373,4
374,57
375,48
376,8
377,40
378,26
379,40
380,4
381,6
382,2
383,4
384,2
385,2
386,2
387,4
388,4
389,102
390,146
391,162
392,6
393,2
394,2
395,2
396,4
397,2
398,2
399,2
400,2
401,2
402,4
403,2
404,2
405,6
406,9
407,2
408,2
409,2
410,2
411,4
412,4
413,4
414,2
415,48
416,2
417,2
418,172
419,14
420,2
421,2
422,2
423,2
424,9
425,15
426,24
427,2
428,2
429,2
430,12
431,6
432,12
433,18
434,8
435,2
436,4
437,2
438,2
439,2
440,6
441,6
442,10
443,2
444,6
445,2
446,6
447,2
448,6
449,6
450,21
451,12
452,3
453,3
454,2
455,516
456,3
457,9
458,3
459,3
460,6
461,54
462,6
463,8
464,12
465,12
466,34
467,30
468,2
469,2
470,6
471,20
472,18
473,2
474,6
475,6
