ch_changeIdNum,s
1,0
2,0
3,1
4,1
5,0
6,1487
7,0
8,57
9,7
10,0
11,1
12,10
13,5
14,23
15,0
16,41
17,588
18,5
19,0
20,4
21,30
22,1
23,0
24,6
25,7
26,1658
27,1
28,558
29,1356
30,246
31,1
32,16
33,12
34,1
35,36
36,96
37,434
38,0
39,404
40,184
41,0
42,0
43,3
44,40
45,27
46,0
47,3
48,2
49,188
50,24
51,0
52,1
53,189
54,0
55,75
56,440
57,292
58,305
59,80
60,0
61,27
62,8
63,7
64,1
65,2
66,64
67,18
68,2
69,0
70,1675
71,0
72,18
73,15
74,8
76,2
77,6
78,0
79,6
80,31
81,6
82,14
83,2
84,28
85,0
86,2
87,128
88,10
89,2
90,21
91,423
92,0
93,1
94,0
95,2
96,30
97,10
98,2
99,14
100,6
101,199
102,1
103,2
104,2
105,86
106,1079
107,0
108,5
109,8
110,101
111,20
112,8
113,0
114,12
115,4
116,100
117,6
118,28
119,0
120,4
121,2
122,4
123,8
124,6
125,18
126,3
127,4
128,238
129,160
130,216
131,2
132,30
133,18
134,8
135,2
136,0
137,0
138,8
139,40
140,12
141,2
142,0
143,433
144,14
145,0
146,43
147,28
148,0
149,814
150,24
151,44
152,28
153,26
154,14
155,2
156,10
157,10
158,52
159,10
160,69
161,21
162,48
163,552
164,6
165,24
166,4
167,32
168,0
169,0
170,32
171,36
172,21
173,0
174,214
175,2
176,0
177,868
178,294
179,30
180,922
181,60
182,8
183,0
184,0
185,12
186,38
187,2
188,62
189,6
190,14
191,34
192,70
193,22
194,50
195,12
196,478
197,40
198,12
199,10
200,58
201,16
202,14
203,16
204,66
205,87
206,6
207,2
208,4
209,2
210,2
211,20
212,4
213,42
214,26
215,18
216,16
217,108
218,3
219,9
220,1
221,1
222,99
223,7
224,0
225,12
226,2
227,4
228,0
229,0
230,0
231,4
232,62
233,30
234,14
235,24
236,98
237,0
238,0
239,4
240,16
241,118
242,36
243,2
244,12
245,18
246,3
247,0
248,4
249,2
250,48
251,0
252,2
253,70
254,9
255,8
256,12
257,10
258,66
259,3
260,4
261,0
262,84
263,44
264,6
265,24
266,58
267,140
268,2852
269,906
270,11
271,2
272,38
273,10
274,0
275,6
276,18
277,174
278,539
