ch_changeIdNum,"DATEDIFF(hist2.hist_createdTime, hist1.hist_createdTime)"
179,9
222,22
223,1
229,15
231,1
232,1
234,6
235,6
237,6
238,3
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,7
248,1
250,14
251,0
252,2
253,3
254,1
255,3
256,0
257,35
258,0
259,22
261,19
262,1
263,1
264,23
265,1
266,1
268,1
270,1
271,1
274,0
275,0
276,0
281,0
283,0
285,0
286,1
287,1
288,1
289,1
293,1
294,0
295,0
296,0
302,0
303,0
308,18
309,18
310,5
312,1
313,0
314,0
315,0
316,0
317,0
319,0
322,0
323,12
325,0
333,0
334,0
335,0
336,14
339,0
341,0
342,0
346,0
365,1
368,0
370,3
371,0
372,0
373,28
374,0
377,0
378,0
380,0
381,12
382,0
383,0
384,0
385,0
388,0
390,3
391,4
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
410,0
416,0
417,0
418,0
419,0
420,0
421,0
427,0
428,0
430,7
434,2
435,4
436,4
437,4
438,2
439,2
446,1
524,1
529,2
544,0
548,0
558,0
560,4
567,0
571,0
580,1
582,0
592,0
626,0
628,1
631,35
642,0
643,9
655,1
658,0
659,6
660,2
676,0
676,0
698,0
708,4
713,0
717,1
739,0
743,4
759,0
762,6
763,7
768,1
783,0
787,2
791,1
792,3
793,8
794,6
795,0
796,3
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
829,4
831,0
832,1
833,2
834,0
835,9
836,0
841,3
842,0
851,1
851,3
856,37
867,0
879,0
880,1
883,0
884,0
893,0
931,76
933,0
940,1
941,1
946,0
950,0
975,1
1001,0
1011,1
1075,2
1089,6
1091,1
1094,1
1099,1
1141,0
1145,3
1149,30
1151,1
1158,0
1159,28
1160,1
1171,2
1176,0
1183,0
1185,1
1186,0
1193,0
1193,0
1197,1
1198,1
1199,1
1240,0
1242,0
1244,1
1250,0
1252,3
1263,21
1268,4
1280,4
1281,0
1284,0
1292,0
1295,0
1299,0
1308,19
1344,0
1349,3
1351,6
1352,7
1383,2
1384,1
1403,0
1414,0
1416,4
1417,1
1424,0
1428,0
1454,0
1456,0
1457,0
1465,2
1466,3
1467,1
1472,0
1473,0
1474,0
1477,0
1480,4
1482,0
1483,0
1484,0
1484,0
1484,0
1484,0
1488,0
1490,0
1491,0
1492,1
1493,1
1495,1
1498,1
1499,1
1501,3
1502,1
1504,1
1511,0
1512,0
1514,6
1515,0
1516,2
1517,3
1518,2
1519,4
1520,23
1521,0
1523,0
1528,0
1529,6
1530,0
1530,0
1531,0
1532,0
1534,1
1535,1
1536,1
1537,0
1538,0
1538,1
1539,0
1540,0
1541,1
1543,1
1544,1
1545,1
1546,58
1547,2
1548,3
1549,0
1550,0
1551,10
1552,0
1554,1
1556,1
1559,0
1560,0
1561,1
1562,0
1563,0
1567,0
1568,0
1571,0
1572,1
1595,2
1596,0
1598,2
1599,0
1605,0
1606,5
1607,3
1608,5
1609,0
1610,1
1611,0
1612,1
1613,14
1614,0
1615,2
1617,1
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1626,0
1627,0
1628,0
1628,0
1629,0
1630,5
1631,1
1632,2
1634,3
1635,1
1636,1
1637,1
1638,0
1639,0
1640,1
1641,0
1642,4
1643,1
1644,1
1645,0
1646,1
1647,6
1648,0
1649,0
1650,1
1651,1
1652,0
1654,0
1655,1
1656,0
1657,0
1658,1
1658,1
1659,9
1660,0
1663,0
1664,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,1
1674,0
1677,1
1678,3
1679,1
1680,0
1682,1
1683,1
1684,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,1
1695,0
1696,1
1697,1
1698,0
1699,0
1700,0
1701,1
1702,0
1703,0
1704,3
1706,2
1707,0
1708,0
1709,1
1710,1
1712,0
1713,0
1715,0
1716,0
1718,1
1719,13
1720,1
1721,13
1722,0
1723,1
1723,1
1725,0
1726,0
1727,5
1729,4
1732,0
1733,0
1734,0
1736,0
1737,1
1738,1
1740,1
1746,1
1747,0
1749,2
1750,0
1751,2
1754,0
1755,0
1756,0
1757,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,18
1770,0
1771,0
1772,0
1773,1
1774,1
1775,0
1777,0
