ch_changeIdNum,COUNT(ch_changeIdNum)
12,2
107,4
222,4
228,1
229,2
235,4
237,1
238,4
239,1
240,1
241,1
259,7
261,1
265,7
266,7
268,7
269,7
283,7
295,2
296,2
297,2
313,2
314,2
315,2
316,2
317,2
322,1
323,1
329,10
330,10
331,10
332,10
333,1
334,1
335,1
341,1
342,1
346,2
367,10
373,10
374,1
376,1
378,1
379,1
380,1
381,3
382,3
392,1
393,1
394,1
395,1
396,1
397,1
398,1
400,1
401,1
402,1
403,15
404,15
445,1
446,1
455,1
485,2
487,2
544,5
548,5
558,7
567,7
571,7
631,5
658,1
659,1
676,2
691,8
696,1
698,2
727,2
732,1
739,2
776,4
841,2
856,2
867,2
884,2
888,6
906,1
941,9
949,2
950,2
962,1
975,2
988,6
1006,7
1011,9
1035,1
1041,8
1043,1
1088,12
1091,9
1115,4
1138,9
1141,9
1145,9
1149,9
1151,2
1159,16
1176,9
1186,11
1252,11
1255,6
1263,3
1268,2
1276,2
1296,12
1299,6
1303,4
1308,4
1389,3
1401,4
1403,4
1414,3
1424,11
1427,1
1431,16
1432,16
1433,16
1434,16
1435,16
1436,16
1437,16
1438,16
1439,16
1440,16
1441,16
1442,16
1443,16
1444,16
1445,16
1446,16
1447,16
1448,16
1449,16
1450,16
1451,16
1466,1
1467,11
1482,16
1483,3
1488,1
1492,1
1493,1
1495,1
1524,1
1529,3
1534,3
1546,11
1547,11
1566,2
1570,18
1573,14
1591,14
1598,6
1599,1
1603,2
1605,15
1606,9
1607,9
1608,2
1609,9
1610,1
1611,1
1612,9
1613,7
1614,7
1615,20
1617,37
1618,37
1619,7
1620,7
1621,2
1622,2
1623,7
1626,7
1627,16
1628,18
1629,42
1630,18
1631,7
1632,2
1634,7
1635,10
1651,10
1652,43
1653,10
1654,10
1656,18
1657,18
1658,13
1659,13
1660,13
1661,13
1663,5
1664,20
1668,5
1669,28
1670,7
1673,44
1674,1
1675,1
1676,19
1677,31
1678,1
1680,5
1683,16
1684,16
1685,5
1688,5
1689,1
1690,5
1691,45
1692,31
1693,31
1697,20
1698,31
1699,5
1700,5
1702,20
1703,20
1708,16
1709,16
1710,16
1713,21
1714,21
1715,1
1716,21
1718,22
1719,7
1720,7
1721,33
1722,33
1723,33
1724,33
1726,22
1728,5
1729,22
1731,48
1732,48
1733,7
1734,7
1747,33
1748,33
1749,5
1752,18
1753,18
1754,18
1755,5
1757,11
1760,33
1761,33
1762,33
1763,33
1778,18
1779,18
1780,18
1781,18
1789,19
1790,1
1791,19
1792,1
1793,5
1796,27
1797,27
1798,7
1799,1
1800,1
1801,1
1802,1
1803,34
1807,7
1808,7
1809,7
1810,19
1811,7
1812,7
1813,3
1818,3
1819,7
1822,2
1828,58
1829,7
1830,35
1831,21
1832,21
1835,13
1836,7
1837,58
1839,29
1840,35
1841,35
1842,1
1843,36
1844,36
1845,36
1846,14
1847,1
1854,31
1855,29
1856,29
1858,14
1859,14
1860,14
1862,36
1863,36
1864,1
1866,23
1867,7
1868,7
1869,14
1870,24
1871,15
1872,15
1876,17
1880,17
1881,17
1882,17
1883,17
1884,31
1885,3
1886,1
1893,39
1894,39
1895,17
1897,22
1899,15
1900,3
1901,3
1902,5
1904,1
1906,40
1909,3
1912,8
1913,8
1915,2
1916,5
1917,9
1918,9
