ch_changeIdNum,c
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,11
104,3
106,1
107,12
108,4
179,2
222,13
223,3
229,5
232,1
233,4
235,6
237,1
238,7
243,5
244,6
245,6
246,6
247,6
248,10
252,3
253,4
254,5
255,5
258,1
259,8
261,3
262,11
263,2
265,9
266,10
268,11
269,12
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
281,3
283,13
287,1
294,2
297,2
300,1
302,3
303,4
308,2
310,3
313,3
314,3
315,5
316,5
317,5
319,1
322,4
323,4
325,1
326,1
329,2
330,3
331,4
332,5
333,6
334,7
335,8
339,1
340,1
341,9
342,10
346,12
354,1
355,2
367,14
368,1
369,1
370,1
371,2
372,4
373,15
374,11
376,12
377,1
378,2
379,2
380,2
381,13
382,14
385,2
390,3
391,1
392,16
393,16
394,16
395,16
396,16
397,16
398,16
399,4
400,5
401,5
402,5
403,6
404,7
407,2
410,2
416,1
417,2
421,1
440,3
445,8
446,8
455,10
465,5
478,3
485,23
487,23
512,6
516,2
544,14
548,15
558,15
567,16
571,17
592,2
626,1
628,1
631,16
642,2
643,2
655,1
656,1
657,1
658,11
659,11
669,3
676,13
691,18
696,1
698,14
708,4
713,4
717,4
727,15
732,2
739,16
743,1
754,2
759,4
766,1
767,2
768,2
783,2
787,3
788,3
791,3
792,3
793,3
794,3
795,3
796,3
797,11
798,11
799,11
800,11
801,11
802,11
803,11
804,11
805,11
806,11
807,21
808,21
809,21
810,21
811,21
812,21
813,21
814,21
815,21
816,21
817,21
818,32
819,32
820,32
821,32
822,32
823,32
824,32
825,32
826,32
827,4
828,5
829,6
830,7
831,2
832,5
833,6
834,3
835,4
836,5
841,17
842,3
851,6
856,18
862,4
863,5
867,19
871,1
880,1
884,20
888,17
891,1
898,2
906,2
916,2
931,1
932,2
933,3
934,5
937,6
940,7
941,19
942,7
946,7
948,7
949,21
950,13
957,8
962,3
964,9
975,22
978,4
981,1
982,5
988,18
1001,5
1003,1
1006,19
1011,20
1012,9
1028,3
1032,7
1035,4
1038,6
1044,1
1062,1
1063,2
1076,3
1077,4
1079,5
1083,1
1085,6
1087,10
1088,16
1089,6
1091,21
1094,1
1099,7
1101,1
1102,2
