ch_changeIdNum,COUNT(ch_changeIdNum)
107,3
222,3
229,1
233,1
235,2
238,2
239,2
240,2
241,2
243,2
244,2
245,2
246,2
247,2
248,2
252,2
253,2
254,2
255,2
259,2
261,2
262,2
265,3
266,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
283,12
295,2
296,2
297,2
309,2
313,2
314,2
315,2
316,2
317,2
322,2
323,2
329,1
330,1
331,1
332,1
333,2
334,2
335,2
341,3
342,3
346,3
367,12
373,12
374,3
376,3
381,4
382,4
392,8
393,8
394,8
395,8
396,8
397,8
398,8
403,1
404,1
485,8
487,8
544,5
548,5
558,4
567,4
571,4
628,2
631,5
676,3
691,4
696,2
698,3
727,3
739,3
776,1
841,3
856,3
867,3
884,3
888,9
906,2
941,5
949,3
975,3
988,10
1006,10
1011,6
1041,7
1043,1
1088,13
1091,6
1115,4
1138,11
1141,11
1145,6
1149,6
1151,3
1159,3
1176,6
1182,2
1186,11
1199,1
1252,11
1255,6
1263,5
1268,1
1276,1
1296,11
1299,7
1303,5
1308,5
1333,1
1389,1
1401,5
1403,6
1424,8
1431,8
1432,8
1433,8
1434,8
1435,8
1436,8
1437,8
1438,8
1439,8
1440,8
1441,8
1442,8
1443,8
1444,8
1445,8
1446,8
1447,8
1448,8
1449,8
1450,8
1451,8
1457,1
1465,2
1466,2
1467,8
1472,3
1482,3
1483,3
1488,2
1492,2
1493,2
1495,2
1524,2
1529,2
1534,2
1546,8
1547,8
1570,14
1573,6
1591,6
1598,2
1599,2
1605,6
1606,6
1607,6
1609,6
1610,1
1611,1
1612,6
1613,11
1614,11
1615,8
1617,8
1618,8
1619,11
1620,11
1623,5
1626,11
1627,6
1628,6
1629,8
1630,6
1631,5
1634,5
1635,5
1651,5
1652,9
1653,5
1654,5
1656,6
1657,6
1658,4
1659,4
1660,4
1661,4
1663,5
1664,8
1668,5
1669,8
1670,11
1673,9
1674,1
1675,1
1676,6
1677,8
1678,1
1680,5
1683,4
1684,4
1685,5
1688,5
1689,1
1690,5
1691,9
1692,8
1693,8
1697,6
1698,8
1699,5
1700,5
1702,6
1703,6
1708,4
1709,4
1710,4
1713,6
1714,6
1715,2
1716,6
1718,6
1719,11
1720,11
1721,9
1722,9
1723,9
1724,9
1726,7
1728,5
1729,7
1731,9
1732,9
1733,11
1734,11
1747,9
1748,9
1749,5
1752,4
1753,4
1754,4
1755,5
1757,5
1760,9
1761,9
1762,9
1763,9
1778,4
1779,4
1780,4
1781,4
1782,1
1783,1
1789,23
1791,23
1792,3
1793,6
1796,8
1797,8
1798,11
1799,3
1800,3
1801,3
1802,3
1803,9
1807,5
1808,11
1809,11
1810,7
1811,5
1812,5
1813,1
1818,2
1819,11
1820,2
1822,1
1829,11
1830,9
1831,4
1832,4
1835,6
1836,11
1839,8
1840,9
1841,9
1842,3
1843,9
1844,9
1845,9
1846,6
1847,3
1854,8
1855,9
1856,9
1858,6
1859,6
1860,6
1862,9
1863,9
1864,3
1866,4
1867,11
1868,11
1869,7
1870,5
1871,7
1872,7
1876,7
1880,7
1881,7
1882,7
1883,7
1884,8
1885,1
1886,2
1893,10
1894,10
1895,7
1897,8
1899,7
1900,2
1901,2
1902,6
1904,1
1906,10
1909,1
1912,11
1913,11
1915,1
1916,6
1917,13
1918,13
1919,3
1920,16
1925,9
1926,16
1927,16
1929,16
1930,7
1931,8
1932,8
1933,10
1934,23
1935,23
1936,23
1938,7
1939,8
1940,7
1941,7
1942,7
1943,7
1944,7
1945,7
1946,8
1947,15
1948,6
1952,9
1953,2
1955,5
1956,5
1959,8
1960,5
1965,15
1968,15
1971,2
1973,10
1974,15
1975,1
1976,1
1980,4
1983,4
1984,8
1985,4
1987,9
1988,4
1989,8
1990,10
1991,10
1992,4
1993,10
1994,1
1995,13
1996,13
1997,13
1998,13
1999,13
2000,7
2001,8
2002,13
2003,2
2004,2
2005,15
2007,8
2008,8
2009,10
2012,10
2016,8
2018,16
2019,16
2021,4
2022,4
2023,4
2025,5
2026,14
2027,9
2028,7
2029,5
2030,5
2031,11
2032,14
2033,14
2041,10
2042,5
2043,5
2044,15
2045,1
2051,4
2052,10
2055,9
2063,4
2066,5
2067,5
2068,5
2075,2
2081,2
2090,15
2091,2
2093,10
2094,2
2095,9
2096,9
2097,9
2098,9
2099,2
2100,14
2101,15
2103,7
2104,7
2105,10
2106,2
2107,6
2108,6
2109,6
2110,5
2112,5
2114,9
2115,2
2116,8
2119,9
2120,6
2122,9
2128,9
2129,18
2133,14
2134,9
2135,3
2136,3
2138,9
2139,9
2141,3
2142,3
2147,6
2151,4
2152,4
2153,4
2154,4
2156,14
2158,6
2159,8
2161,3
2162,3
2163,15
2164,15
2165,15
2166,14
2167,14
2168,16
2169,14
2170,10
2172,1
2173,1
2174,1
2175,9
2176,9
2177,9
2178,9
2179,9
2180,9
2181,9
2182,9
2183,1
2184,2
2192,4
2193,4
2194,2
2195,31
2196,1
2197,4
2198,31
2199,31
2200,31
2201,31
2203,31
2204,31
2205,31
2206,31
2207,31
2208,31
2209,31
2210,31
2211,31
2212,31
2213,31
2214,31
2215,31
2217,31
2218,31
2219,31
2220,15
2221,31
2222,31
2223,31
2224,31
2225,31
2226,31
2227,31
2228,7
2230,31
2231,15
2232,3
2233,3
2234,4
2235,16
2237,31
2238,31
2240,1
2242,1
2245,31
2246,8
2247,19
2248,3
2250,31
2251,4
2252,4
2253,14
2254,4
2259,7
2260,7
2261,10
2262,19
2263,19
2264,10
2265,19
2266,19
2268,19
2269,19
2270,31
2271,31
2272,16
2274,16
2275,8
2276,8
2277,31
2286,10
2288,4
2291,10
2292,8
2293,8
2294,10
2295,10
2296,4
2297,4
2298,16
2299,8
2301,10
2304,31
2305,31
2306,6
2307,6
2308,6
2309,4
2310,19
2311,4
2313,8
2314,8
2315,7
2316,4
2317,31
2318,31
2319,31
2320,31
2321,31
2322,31
2323,31
2324,31
2325,31
2326,31
2327,31
2328,8
2329,8
2331,8
2333,4
2334,8
2335,8
2336,18
2337,4
2339,7
2340,7
2341,4
2342,4
2343,8
2349,4
2356,2
2360,3
2365,3
2366,16
2367,3
2370,16
2371,16
2373,4
2377,4
2378,4
2381,9
2383,16
2384,16
2385,16
2387,7
2391,16
2392,10
2393,11
2394,11
2395,11
2396,11
2397,11
2398,11
2399,11
2400,11
2401,10
2403,5
2404,5
2405,1
2406,5
2407,12
2408,12
2409,8
2410,8
2411,8
2412,8
2413,8
2414,8
2415,8
2416,8
2417,8
2418,8
2419,8
2420,8
2421,8
2422,8
2424,1
2426,16
2428,1
2429,16
2430,8
2431,16
2432,2
2434,8
2435,8
2436,16
2437,2
2438,10
2439,10
2440,10
2441,10
2442,16
2443,16
2445,16
2447,8
2449,1
2450,10
2451,10
2452,19
2453,10
2455,2
2456,2
2457,2
2458,8
2459,9
2460,17
2461,1
2462,10
2463,9
2464,13
2465,13
2466,13
2467,13
2469,9
2471,3
2472,3
2474,19
2477,19
2478,2
2482,9
2485,20
2487,20
2488,9
2489,9
2490,10
2491,3
2492,14
2494,10
2495,10
2503,17
2504,13
2510,8
2521,4
2537,8
2543,7
2545,3
2546,22
2547,17
2548,22
2553,1
2555,9
2559,8
2560,8
2561,8
2562,8
2563,3
2567,14
2568,14
2569,17
2571,14
2572,14
2575,14
2576,22
2578,8
2580,20
2581,20
2584,10
2585,10
2587,17
2588,3
2589,15
2590,2
2592,20
2599,10
2602,10
2604,10
2606,17
2607,1
2608,1
2609,1
2612,2
2613,8
2615,8
2616,8
2617,15
2618,15
2620,10
2629,8
2638,15
2639,15
2653,4
2656,9
2657,9
2659,3
2661,14
2662,20
2666,14
2669,14
2670,14
2671,20
2673,20
2674,20
2677,3
2678,22
2679,22
2681,2
2682,20
2683,10
2692,20
2694,20
2695,2
2697,14
2698,14
2699,14
2700,2
2701,2
2702,2
2705,2
2706,2
2707,22
2708,2
2709,2
2710,11
2712,4
2713,4
2714,4
2715,4
2716,4
2717,4
2718,8
2720,11
2721,11
2722,11
2725,22
2727,22
2729,14
2730,14
2731,14
2739,18
2740,14
2741,19
2742,18
2743,11
2744,11
2745,11
2746,11
2747,23
2748,24
2749,24
2750,24
2751,24
2752,24
2753,24
2754,24
2756,2
2757,2
2758,2
2759,2
2760,14
2761,15
2762,3
2763,3
2764,14
2765,4
2767,24
