hist_authorAccountId,COUNT(hist_id)
1000001,2
1000002,318
1000003,450
1000005,800
1000006,279
1000013,2246
1000017,10
1000020,124
1000021,1203
1000022,1502
1000023,1101
1000025,5
1000026,40
1000027,238
1000028,602
1000030,246
1000031,1361
1000032,9
1000034,90
1000035,65
1000037,636
1000039,88
1000041,7
1000042,8
1000043,173
1000045,423
1000053,177
1000059,139
1000062,366
1000065,178
1000068,257
1000083,1920
1000084,154
1000089,1
1000092,115
1000094,18
1000097,22
1000099,19
1000105,3
1000119,79
1000120,51
1000125,21
1000130,2
1000132,1
1000133,1
1000134,1
1000135,4107
1000138,247
1000152,17
1000154,200
1000161,10
1000166,626
1000169,69
1000172,11
1000177,1
1000179,34
1000182,232
1000186,29
1000210,1
1000223,1
1000233,47
1000237,1
1000246,2
1000247,1
1000251,1
1000292,3
1000295,224
1000321,454
1000367,1
1000380,1
1000381,49
1000389,1
1000464,1
1000487,3
1000521,4
1000534,29
1000549,91
1000562,21
1000646,3
1000664,14
1000771,30
1000776,1
1000796,327
1000804,56
1000821,19
1000824,5
1000865,26
1000871,1134
1000880,1
1000883,21
1000897,36
1000981,31
1000994,23
1001002,15
1001030,4
1001050,77
1001077,98
1001121,376
1001124,53
1001193,48
1001194,67
1001210,6
1001217,1
1001238,2
1001243,3
1001264,1
1001364,1
1001380,1
