hist_authorAccountId,MIN(hist_createdTime)
1000001,"2015-12-04 14:54:44"
1000002,"2012-05-04 08:54:35"
1000003,"2012-03-06 10:52:16"
1000005,"2013-02-19 12:37:57"
1000006,"2013-01-16 09:15:15"
1000013,"2012-06-20 08:30:33"
1000017,"2013-01-02 13:26:20"
1000020,"2012-07-10 11:08:24"
1000021,"2012-06-20 07:50:03"
1000022,"2012-06-26 13:35:32"
1000023,"2012-07-04 09:53:19"
1000025,"2012-11-10 17:58:57"
1000026,"2012-07-23 07:53:22"
1000027,"2012-11-15 12:55:18"
1000028,"2012-08-23 08:15:26"
1000030,"2012-07-24 15:15:23"
1000031,"2012-07-08 20:55:34"
1000032,"2013-03-09 21:03:19"
1000034,"2014-11-14 13:14:57"
1000035,"2012-07-23 10:39:30"
1000037,"2012-07-02 14:19:54"
1000039,"2012-08-16 08:24:52"
1000041,"2012-08-03 20:13:03"
1000042,"2014-11-10 12:03:29"
1000043,"2013-12-29 19:00:10"
1000045,"2012-08-09 16:13:13"
1000053,"2012-07-24 10:08:22"
1000059,"2012-12-29 15:29:18"
1000062,"2012-08-06 08:57:05"
1000065,"2013-01-10 09:28:51"
1000068,"2013-02-04 14:11:24"
1000083,"2013-05-22 10:44:29"
1000084,"2013-06-06 09:41:02"
1000089,"2014-09-04 10:57:35"
1000092,"2012-07-19 15:09:52"
1000094,"2013-08-10 16:02:21"
1000097,"2013-01-27 06:27:22"
1000099,"2012-08-16 09:31:16"
1000105,"2013-06-15 13:48:45"
1000119,"2015-09-16 17:23:13"
1000120,"2013-07-30 13:41:10"
1000125,"2015-09-14 01:16:34"
1000130,"2012-11-05 11:57:07"
1000132,"2012-12-19 01:41:30"
1000133,"2013-04-03 09:18:36"
1000134,"2013-01-18 03:33:49"
1000135,"2012-11-02 13:52:21"
1000138,"2012-12-22 08:24:16"
1000152,"2013-01-24 09:41:23"
1000154,"2013-11-16 11:16:15"
1000161,"2016-06-18 08:11:43"
1000166,"2014-07-30 20:32:31"
1000169,"2013-04-07 20:41:39"
1000172,"2012-12-21 23:43:45"
1000177,"2012-12-14 21:10:38"
1000179,"2016-02-11 17:16:33"
1000182,"2014-09-17 19:47:42"
1000186,"2013-11-03 16:14:23"
1000210,"2016-09-18 05:09:54"
1000223,"2016-11-07 16:48:57"
1000233,"2014-08-02 22:11:35"
1000237,"2013-11-16 09:01:32"
1000246,"2014-06-07 22:47:33"
1000247,"2014-11-14 14:23:27"
1000251,"2013-07-03 23:11:32"
1000292,"2013-09-03 10:26:21"
1000295,"2014-03-25 12:08:22"
1000321,"2015-02-20 13:02:31"
1000367,"2014-01-04 08:24:24"
1000380,"2015-03-14 10:17:37"
1000381,"2013-06-16 15:29:45"
1000389,"2014-01-15 10:19:15"
1000464,"2016-04-28 12:52:40"
1000487,"2013-07-28 21:07:55"
1000521,"2014-08-13 10:10:26"
1000534,"2014-02-17 22:49:35"
1000549,"2014-04-06 18:32:14"
1000562,"2013-12-04 14:17:04"
1000646,"2014-07-28 08:32:17"
1000664,"2016-08-03 08:08:49"
1000771,"2014-10-13 17:03:49"
1000776,"2014-12-19 10:56:06"
1000796,"2014-11-28 03:35:41"
1000804,"2015-10-13 16:27:43"
1000821,"2015-09-03 23:42:03"
1000824,"2015-09-24 20:10:14"
1000865,"2015-12-17 14:08:03"
1000871,"2015-12-23 16:00:27"
1000880,"2016-07-21 16:30:19"
1000883,"2016-06-16 17:43:11"
1000897,"2016-01-10 19:59:23"
1000981,"2015-06-05 12:43:50"
1000994,"2015-05-19 08:19:51"
1001002,"2013-01-29 08:54:33"
1001030,"2016-05-24 12:26:07"
1001050,"2016-06-24 12:45:35"
1001077,"2015-09-11 12:00:14"
1001121,"2015-12-04 12:25:04"
1001124,"2015-11-10 15:02:30"
1001193,"2016-05-30 17:36:24"
1001194,"2016-04-29 11:54:27"
1001210,"2016-08-26 17:48:40"
1001217,"2016-02-18 04:41:58"
1001238,"2016-06-09 17:39:35"
1001243,"2016-07-21 15:14:43"
1001264,"2016-10-25 13:14:53"
1001364,"2016-10-07 06:01:38"
1001380,"2016-10-03 18:53:37"
