hist_authorAccountId,MIN(hist_createdTime)
1000002,"2012-06-20 07:06:37"
1000003,"2012-04-25 23:34:42"
1000005,"2012-12-04 11:00:34"
1000006,"2012-07-04 12:54:00"
1000013,"2012-07-04 09:05:17"
1000016,"2014-08-17 20:59:12"
1000017,"2012-11-27 21:16:28"
1000020,"2012-06-21 08:44:36"
1000021,"2012-05-04 07:29:55"
1000022,"2012-05-03 20:08:10"
1000023,"2012-07-05 13:27:14"
1000024,"2013-06-02 23:05:16"
1000025,"2012-07-09 14:51:10"
1000026,"2012-11-11 14:22:59"
1000027,"2012-11-25 19:08:43"
1000028,"2012-06-20 11:11:58"
1000029,"2012-07-07 13:38:48"
1000030,"2012-08-25 01:10:05"
1000031,"2012-07-01 16:28:10"
1000032,"2014-02-01 21:14:09"
1000034,"2014-10-27 14:20:05"
1000035,"2013-02-15 16:20:56"
1000037,"2012-10-08 09:33:56"
1000039,"2012-08-14 14:19:46"
1000041,"2012-06-30 20:42:00"
1000042,"2014-11-07 10:01:01"
1000043,"2013-04-16 11:36:33"
1000044,"2013-02-24 22:37:36"
1000045,"2012-08-08 09:56:27"
1000053,"2012-07-24 08:33:17"
1000057,"2013-12-30 12:29:03"
1000059,"2012-10-07 20:04:39"
1000062,"2012-06-21 11:53:47"
1000064,"2013-03-26 14:52:40"
1000065,"2013-01-24 10:03:41"
1000067,"2012-11-29 00:10:31"
1000068,"2013-02-26 10:58:38"
1000072,"2015-11-19 23:40:02"
1000075,"2013-02-26 01:16:23"
1000076,"2012-07-02 12:56:28"
1000077,"2013-04-15 18:57:21"
1000083,"2013-03-02 16:50:41"
1000084,"2013-03-24 06:08:53"
1000092,"2013-01-15 14:32:14"
1000094,"2015-11-09 14:03:26"
1000097,"2013-01-22 10:00:44"
1000098,"2013-09-17 13:29:43"
1000099,"2012-10-09 14:40:00"
1000101,"2012-12-24 11:09:45"
1000105,"2013-01-12 05:55:30"
1000107,"2013-08-01 07:22:43"
1000119,"2015-09-16 18:02:24"
1000120,"2013-08-15 10:19:11"
1000130,"2012-11-05 10:34:25"
1000133,"2013-06-27 18:37:18"
1000135,"2012-10-31 16:21:32"
1000138,"2012-10-09 08:24:36"
1000143,"2012-10-12 15:21:39"
1000152,"2013-01-25 15:56:12"
1000154,"2013-02-18 12:48:53"
1000158,"2014-07-16 03:14:36"
1000161,"2014-06-29 20:37:51"
1000166,"2013-03-10 17:37:09"
1000169,"2013-01-07 10:09:24"
1000172,"2012-10-17 14:44:44"
1000176,"2013-05-20 10:34:06"
1000177,"2012-12-14 21:10:38"
1000179,"2015-12-10 17:32:01"
1000182,"2014-02-04 10:47:09"
1000186,"2013-05-07 13:52:19"
1000190,"2012-10-09 15:14:08"
1000195,"2013-11-05 15:05:54"
1000196,"2012-10-20 22:24:13"
1000210,"2014-07-11 15:29:51"
1000218,"2014-02-19 03:08:40"
1000223,"2016-05-21 12:06:04"
1000226,"2013-01-03 12:38:24"
1000227,"2014-02-11 02:12:16"
1000233,"2013-01-19 14:38:57"
1000237,"2013-07-22 10:17:06"
1000247,"2014-11-14 14:23:18"
1000251,"2013-07-07 08:05:21"
1000257,"2014-03-21 19:44:12"
1000270,"2014-11-02 11:35:48"
1000274,"2013-10-24 09:43:01"
1000292,"2015-06-11 01:26:39"
1000295,"2013-03-22 10:22:30"
1000318,"2013-09-11 07:29:28"
1000321,"2013-10-28 06:08:34"
1000322,"2013-03-08 10:14:58"
1000350,"2013-09-05 14:01:48"
1000381,"2013-10-23 09:45:00"
1000389,"2013-12-30 10:17:22"
1000392,"2015-08-04 15:49:28"
1000447,"2013-10-02 21:24:35"
1000464,"2014-05-28 17:40:46"
1000534,"2013-10-22 09:27:22"
1000547,"2014-09-16 05:13:38"
1000549,"2014-04-03 18:03:02"
1000558,"2013-11-02 14:24:34"
1000562,"2014-01-10 11:55:29"
1000567,"2013-12-15 08:01:09"
1000577,"2013-12-10 14:35:09"
1000579,"2014-03-25 13:56:57"
1000605,"2014-04-11 19:38:50"
1000618,"2014-07-15 13:05:11"
1000625,"2015-02-22 23:13:59"
1000637,"2014-02-18 06:25:06"
1000664,"2014-06-09 16:32:18"
1000673,"2014-04-04 17:27:40"
1000674,"2014-03-26 05:32:50"
1000697,"2014-11-16 18:06:35"
